"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"305680018","Placental abruption - delivered","L112100","198910006","CPRD_AURUM"
"305681019","Placental abruption - not delivered","L112200","198911005","CPRD_AURUM"
"305682014","Premature separation of placenta with coagulation defect","L112300","198912003","CPRD_AURUM"
"2533807017","Placental abruption","L112.00","415105001","CPRD_AURUM"
"305679016","Placental abruption unspecified","L112000","415105001","CPRD_AURUM"
"305683016","Placental abruption NOS","L112z00","415105001","CPRD_AURUM"
"308127017","[X]Other premature separation of placenta","Lyu3D00","415105001","CPRD_AURUM"
"485971000006118","Antepartum haemorrhage, abruptio placentae, placenta praevia","L11..00","267197003","CPRD_AURUM"
"5498951000006115","Antepartum hemorrhage, abruptio placentae and placenta previa","","267197003","CPRD_AURUM"
"6870231000006118","Premature separation of placenta","","415105001","CPRD_AURUM"
"4794671000006113","Placental abruption with coagulation defect","","198912003","CPRD_AURUM"
"2537192015","Ablatio placentae","L112.11","415105001","CPRD_AURUM"
"103271010","Couvelaire uterus","L112.12","62131008","CPRD_AURUM"
"6870201000006114","Abruptio placentae","","415105001","CPRD_AURUM"
