"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"4723","Ablatio placentae","L112.11","","CPRD_GOLD"
"8067","Placental abruption","L112.00","","CPRD_GOLD"
"14762","Antepartum haemorrhage, abruptio placentae, placenta praevia","L11..00","","CPRD_GOLD"
"23583","Placental abruption - delivered","L112100","","CPRD_GOLD"
"41588","Placental abruption - not delivered","L112200","","CPRD_GOLD"
"57777","Couvelaire uterus","L112.12","","CPRD_GOLD"
"60398","Placental abruption NOS","L112z00","","CPRD_GOLD"
"65397","Placental abruption unspecified","L112000","","CPRD_GOLD"
"78482","","L1120","","CPRD_GOLD"
"78487","","L1120N","","CPRD_GOLD"
"78765","","L1120NA","","CPRD_GOLD"
"79765","","L1120H","","CPRD_GOLD"
"88035","","L1120NN","","CPRD_GOLD"
"102737","Premature separation of placenta with coagulation defect","L112300","","CPRD_GOLD"
"108033","[X]Other premature separation of placenta","Lyu3D00","","CPRD_GOLD"
