"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"206411014","Cerebral palsy","F2B..00","128188000","CPRD_AURUM"
"297221013","Congenital paraplegia","F230000","192949002","CPRD_AURUM"
"297234014","Ataxic infantile cerebral palsy","F23y000","278512001","CPRD_AURUM"
"297977018","Vogt's disease","F137.13","193497004","CPRD_AURUM"
"299393011","[X]Cerebral palsy and other paralytic syndromes","Fyu9.00","408371000000100","CPRD_AURUM"
"345773014","Spastic cerebral palsy","F23y200","230773005","CPRD_AURUM"
"345780011","Dyskinetic cerebral palsy","F23y300","230780007","CPRD_AURUM"
"411454011","Congenital spastic cerebral palsy","F23..11","230773005","CPRD_AURUM"
"411455012","Congenital quadriplegia","F232.00","275468009","CPRD_AURUM"
"411456013","Congenital diplegia","F230.00","58193001","CPRD_AURUM"
"450600011","Congenital athetosis","F137111","307355007","CPRD_AURUM"
"450601010","Athetosis - congenital","F137.12","307355007","CPRD_AURUM"
"451123015","Cerebral palsy, not congenital or infantile, acute","G669.00","307756005","CPRD_AURUM"
"497600015","Congenital monoplegia","F233.00","56409008","CPRD_AURUM"
"907411000006113","[RFC] Cerebral palsy","","907411000006109","CPRD_AURUM"
"1815931000006114","Spastic diplegic cerebral palsy","F230111","58193001","CPRD_AURUM"
"1815951000006119","Spastic quadriplegic cerebral palsy","F2B0.00","48721008","CPRD_AURUM"
"2122001000000116","Spastic hemiplegic cerebral palsy","F2B1.00","813921000000104","CPRD_AURUM"
"2283041000000116","Choreo-athetotic cerebral palsy","F23y611","885831000000109","CPRD_AURUM"
"2283831000000117","Choreoathetoid cerebral palsy","F23y600","885831000000109","CPRD_AURUM"
"2326271000000114","Bilateral spastic cerebral palsy","F2B2.00","904531000000100","CPRD_AURUM"
"124599018","Vogt's disease","F137011","193497004","CPRD_AURUM"
"297223011","Congenital diplegia NOS","F230z00","58193001","CPRD_AURUM"
"297233015","Other congenital cerebral palsy","F23y.00","128188000","CPRD_AURUM"
"297238012","Other infantile cerebral palsy NOS","F23yz00","128188000","CPRD_AURUM"
"2475877015","Ataxic diplegic cerebral palsy","F23y400","58193001","CPRD_AURUM"
"223801000000115","Paraplegia - congenital","F230.11","192949002","CPRD_AURUM"
"497021000006113","Athetoid cerebral palsy","F137.11","75019001","CPRD_AURUM"
"542541000006112","Cerebral atonia","F23..14","128188000","CPRD_AURUM"
"543071000006115","Cerebral palsy with spastic diplegia","F230100","230773005","CPRD_AURUM"
"740431000006115","Littles disease","F23..13","128188000","CPRD_AURUM"
"761411000006111","Flaccid infantile cerebral palsy","F23y100","192958009","CPRD_AURUM"
"1815981000006110","Cerebral palsy NOS","F2Bz.00","128188000","CPRD_AURUM"
"1882951000006110","Gross Motor Function Classification System CP level finding","13Cd.00","881501000000104","CPRD_AURUM"
"1882971000006117","Gross Motor Function Classification System for CP level II","13Cd100","881541000000101","CPRD_AURUM"
"1882981000006119","Gross Motor Function Classification System for CP level III","13Cd200","882021000000108","CPRD_AURUM"
"1883001000006115","Gross Motor Function Classification System for CP level V","13Cd400","882061000000100","CPRD_AURUM"
"5012361000006114","Infantile spastic cerebral palsy","","230773005","CPRD_AURUM"
"5012331000006117","Congenital spastic paralysis","","230773005","CPRD_AURUM"
"8328151000006111","SCPE (Surveillance of Cerebral Palsy in Europe) predominant pattern classification A - maldevelopment","","914411000000107","CPRD_AURUM"
"4769391000006119","Hypotonic cerebral palsy","","192958009","CPRD_AURUM"
"2524111000006113","Postnatal infantile hemiplegia","","1593000","CPRD_AURUM"
"3288371000006118","Quadriplegic spastic cerebral palsy","","48721008","CPRD_AURUM"
"5614181000006116","Ataxic cerebral palsy","","278512001","CPRD_AURUM"
"3416421000006111","Monoplegic cerebral palsy","","56409008","CPRD_AURUM"
"3288361000006113","Tetraplegic spastic cerebral palsy","","48721008","CPRD_AURUM"
"8328571000006111","SCPE (Surveillance of Cerebral Palsy in Europe) predominant pattern classification C.2 - parasagittal lesions","","914971000000107","CPRD_AURUM"
"3142351000006117","Spastic congenital paraplegia","","39912006","CPRD_AURUM"
"3445451000006117","Spastic diplegic cerebral palsy","","58193001","CPRD_AURUM"
"4405181000006112","CP - Cerebral palsy","","128188000","CPRD_AURUM"
"3288351000006111","Cerebral palsy with spastic tetraplegia","","48721008","CPRD_AURUM"
"8307611000006113","GMFCS (Gross Motor Function Classification System) for Cerebral Palsy level II","","881541000000101","CPRD_AURUM"
"8328481000006110","SCPE (Surveillance of Cerebral Palsy in Europe) predominant pattern classification B.2 - sequelae of intraventricular haemorrhage or periventricular infarction","","914891000000100","CPRD_AURUM"
"4405191000006110","Cerebral palsy (CP)","","128188000","CPRD_AURUM"
"8328551000006118","SCPE (Surveillance of Cerebral Palsy in Europe) predominant pattern classification C.1 - basal ganglia and thalamus lesions","","914951000000103","CPRD_AURUM"
"8308201000006113","GMFCS (Gross Motor Function Classification System) for Cerebral Palsy level V","","882061000000100","CPRD_AURUM"
"8328211000006116","SCPE (Surveillance of Cerebral Palsy in Europe) predominant pattern classification D - unspecified","","914491000000103","CPRD_AURUM"
"8328131000006116","Finding of SCPE (Surveillance of Cerebral Palsy in Europe) classification for neonatal neuroimaging results for children with cerebral palsy","","914391000000107","CPRD_AURUM"
"8328531000006113","SCPE (Surveillance of Cerebral Palsy in Europe) predominant pattern classification E - normal","","914931000000105","CPRD_AURUM"
"5012351000006112","Little's disease","","230773005","CPRD_AURUM"
"5573561000006115","Congenital tetraplegia","","275468009","CPRD_AURUM"
"7620901000006112","GMFCS (Gross Motor Function Classification System) for Cerebral Palsy","","707621005","CPRD_AURUM"
"12465281000006112","[X]Cerebral palsy and other paralytic syndromes","","408371000000100","CPRD_AURUM"
"299394017","[X]Other infantile cerebral palsy","Fyu9000","128188000","CPRD_AURUM"
"1815971000006112","Other cerebral palsy","F2By.00","128188000","CPRD_AURUM"
"1882991000006116","Gross Motor Function Classification System for CP level IV","13Cd300","882041000000101","CPRD_AURUM"
"8308171000006114","GMFCS (Gross Motor Function Classification System) for Cerebral Palsy level IV","","882041000000101","CPRD_AURUM"
"8307551000006113","GMFCS (Gross Motor Function Classification System) for Cerebral Palsy level finding","","881501000000104","CPRD_AURUM"
"3288331000006116","Quadriplegic cerebral palsy","","48721008","CPRD_AURUM"
"8308141000006118","GMFCS (Gross Motor Function Classification System) for Cerebral Palsy level III","","882021000000108","CPRD_AURUM"
"8328501000006117","SCPE (Surveillance of Cerebral Palsy in Europe) predominant pattern classification B.3 - combination of periventricular leucomalacia and intraventricular haemorrhage sequelae","","914911000000102","CPRD_AURUM"
"8328331000006119","SCPE (Surveillance of Cerebral Palsy in Europe) predominant pattern classification A.2 - unspecified maldevelopment","","914751000000100","CPRD_AURUM"
"8328251000006115","SCPE (Surveillance of Cerebral Palsy in Europe) predominant pattern classification A.1.2 - disorder of migration","","914681000000103","CPRD_AURUM"
"8328191000006117","SCPE (Surveillance of Cerebral Palsy in Europe) predominant pattern classification C - predominant grey matter injury","","914451000000106","CPRD_AURUM"
"297232013","Infantile hemiplegia NOS","F234.00","1593000","CPRD_AURUM"
"907241000006111","[RFC] Cerebral palsy","","907241000006107","CPRD_AURUM"
"551481000000119","Congenital suprabulbar paresis","F23y511","716335003","CPRD_AURUM"
"345771011","Infantile cerebral palsy","F23..12","128188000","CPRD_AURUM"
"124598014","Athetoid cerebral palsy","F137000","75019001","CPRD_AURUM"
"110721000006114","Tetraplegia - congenital","F232.11","275468009","CPRD_AURUM"
"557181000000116","Worster-Drought syndrome","F23y500","716335003","CPRD_AURUM"
"1882961000006112","Gross Motor Function Classification System for CP level I","13Cd000","881521000000108","CPRD_AURUM"
"1883621000006119","Gross Motor Function Classification System Cerebral Palsy","38Gw.00","707621005","CPRD_AURUM"
"8328591000006112","SCPE (Surveillance of Cerebral Palsy in Europe) predominant pattern classification C.3 - infarct of the middle cerebral artery","","914991000000106","CPRD_AURUM"
"8328231000006110","SCPE (Surveillance of Cerebral Palsy in Europe) predominant pattern classification A.1.1 - disorder of proliferation","","914661000000107","CPRD_AURUM"
"3445431000006112","Diplegic cerebral palsy","","58193001","CPRD_AURUM"
"2756451000006111","Double athetosis syndrome","","16171003","CPRD_AURUM"
"3288341000006114","Tetraplegic cerebral palsy","","48721008","CPRD_AURUM"
