"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"2019","Infantile hemiplegia NOS","F234.00","","CPRD_GOLD"
"2069","Congenital cerebral palsy","F23..00","","CPRD_GOLD"
"5512","Cerebral palsy with spastic diplegia","F230100","","CPRD_GOLD"
"5560","Infantile cerebral palsy","F23..12","","CPRD_GOLD"
"12666","Other infantile cerebral palsy NOS","F23yz00","","CPRD_GOLD"
"15530","Congenital spastic cerebral palsy","F23..11","","CPRD_GOLD"
"16956","Cerebral palsy, not congenital or infantile, acute","G669.00","","CPRD_GOLD"
"16977","Athetoid cerebral palsy","F137000","","CPRD_GOLD"
"21249","Congenital quadriplegia","F232.00","","CPRD_GOLD"
"21548","Ataxic infantile cerebral palsy","F23y000","","CPRD_GOLD"
"25324","Congenital diplegia","F230.00","","CPRD_GOLD"
"25570","Spastic cerebral palsy","F23y200","","CPRD_GOLD"
"27966","Congenital hemiplegia","F231.00","","CPRD_GOLD"
"28306","Congenital cerebral palsy NOS","F23z.00","","CPRD_GOLD"
"33925","Congenital monoplegia","F233.00","","CPRD_GOLD"
"37160","Congenital paraplegia","F230000","","CPRD_GOLD"
"39971","Littles disease","F23..13","","CPRD_GOLD"
"42406","Athetosis - congenital","F137.12","","CPRD_GOLD"
"45551","Congenital diplegia NOS","F230z00","","CPRD_GOLD"
"48126","Tetraplegia - congenital","F232.11","","CPRD_GOLD"
"49967","Dyskinetic cerebral palsy","F23y300","","CPRD_GOLD"
"52659","Ataxic diplegic cerebral palsy","F23y400","","CPRD_GOLD"
"53178","Other congenital cerebral palsy","F23y.00","","CPRD_GOLD"
"53755","[X]Cerebral palsy and other paralytic syndromes","Fyu9.00","","CPRD_GOLD"
"55593","Congenital spastic foot","F233.11","","CPRD_GOLD"
"61219","Cerebral atonia","F23..14","","CPRD_GOLD"
"64561","Vogt's disease","F137011","","CPRD_GOLD"
"66314","Congenital athetosis","F137111","","CPRD_GOLD"
"73943","Athetoid cerebral palsy","F137.11","","CPRD_GOLD"
"90520","[X]Other infantile cerebral palsy","Fyu9000","","CPRD_GOLD"
"92598","Double athetosis","F137100","","CPRD_GOLD"
"95132","Worster-Drought syndrome","F23y500","","CPRD_GOLD"
"99040","Paraplegia - congenital","F230.11","","CPRD_GOLD"
"100627","Congenital suprabulbar paresis","F23y511","","CPRD_GOLD"
"104498","Cerebral palsy","F2B..00","","CPRD_GOLD"
"104580","Spastic quadriplegic cerebral palsy","F2B0.00","","CPRD_GOLD"
"104654","Cerebral palsy NOS","F2Bz.00","","CPRD_GOLD"
"104775","Spastic diplegic cerebral palsy","F230111","","CPRD_GOLD"
"104782","Other cerebral palsy","F2By.00","","CPRD_GOLD"
"104828","Flaccid infantile cerebral palsy","F23y100","","CPRD_GOLD"
"105133","Spastic hemiplegic cerebral palsy","F2B1.00","","CPRD_GOLD"
"107551","Choreoathetoid cerebral palsy","F23y600","","CPRD_GOLD"
"107844","Gross Motor Function Classification System Cerebral Palsy","38Gw.00","","CPRD_GOLD"
"107989","Gross Motor Function Classification System for CP level V","13Cd400","","CPRD_GOLD"
"108609","Gross Motor Function Classification System CP level finding","13Cd.00","","CPRD_GOLD"
"111645","Gross Motor Function Classification System for CP level I","13Cd000","","CPRD_GOLD"
"111847","Gross Motor Function Classification System for CP level III","13Cd200","","CPRD_GOLD"
"112736","Bilateral spastic cerebral palsy","F2B2.00","","CPRD_GOLD"
