MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
137582015,Agenesis of pancreas,PB71.00,82949000,CPRD_AURUM
140204016,Double tongue,PA13.12,84557007,CPRD_AURUM
143464017,Agenesis of gallbladder,PB63011,86507001,CPRD_AURUM
313994013,Transposition of caecum,PB53200,204762005,CPRD_AURUM
313935011,Congenital stricture of rectum with fistula,PB25000,204728005,CPRD_AURUM
313912013,Atresia of appendix,PB21300,204715003,CPRD_AURUM
313902018,Congenital absence of rectum with fistula,PB20400,204709003,CPRD_AURUM
313924018,Congenital occlusion of anus with fistula,PB23000,204721004,CPRD_AURUM
313883010,Congenital absence of ileum,PB11200,204697003,CPRD_AURUM
377852013,Congenital stenosis of appendix,PB22.12,253770002,CPRD_AURUM
411380011,Stenosis large intestine,PB2..12,275402007,CPRD_AURUM
486468012,Congenital absence of liver,total,PB63400,3650004,CPRD_AURUM
1233067010,Hypoplasia of pancreas,PB72.00,68591005,CPRD_AURUM
1234504016,Congenital floating gallbladder,PB6y200,80700005,CPRD_AURUM
1235293013,Megalogastria,PA75.00,88035001,CPRD_AURUM
313903011,Congenital absence of large intestine NOS,PB20z00,59514009,CPRD_AURUM
313783017,Other mouth and pharynx anomalies NOS,PA2z.00,253750008,CPRD_AURUM
314083018,Digestive system anomalies NOS,PBz..00,69518005,CPRD_AURUM
314082011,Other specified digestive system anomalies NOS,PByz.00,69518005,CPRD_AURUM
315727016,[X]Other congenital malformations of gallbladder,Pyu5C00,235913009,CPRD_AURUM
161771000006119,Sawaguchi roux-en-y procedure for biliary atresia,7824411,265451009,CPRD_AURUM
580031000006119,Congenital agenesis of liver lobe,PB63111,13630003,CPRD_AURUM
580021000006117,Congenital agenesis liver,total,PB63411,3650004,CPRD_AURUM
1551361000006110,Percut insertion trach plug cong diaphragmatic hernia fetus,7F03500,429613009,CPRD_AURUM
1551331000006118,Fetoscopic insert tracheal plug congen diaphragmatic hernia,7F00100,426503005,CPRD_AURUM
504130013,Congenital displacement of oesophagus,PA41.00,79510004,CPRD_AURUM
12626101000006114,Fetal diaphragmatic hernia,,1110701000000107,CPRD_AURUM
5083151000006115,Oesophageal web / ring,,235622007,CPRD_AURUM
314059014,Other congenital anomaly of gallbladder,PB6yx00,49714001,CPRD_AURUM
4826021000006116,Tracheo-esophageal fistula with atresia of esophagus,,204659003,CPRD_AURUM
3094811000006115,Division of web of esophagus,,36917004,CPRD_AURUM
3630691000006118,Congenital malformation of the digestive system,,69518005,CPRD_AURUM
5334001000006114,Congenital anomalies of tongue, mouth and pharynx,,253750008,CPRD_AURUM
