MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
3753,Pharyngeal pouch,PA26.11,null,CPRD_GOLD
27565,Congenital cystic liver disease,PB62.00,null,CPRD_GOLD
39277,Congenital malposition of digestive system NOS,PBy2.00,null,CPRD_GOLD
49479,Congenital obstruction of bile duct,PB61200,null,CPRD_GOLD
60697,Diaphragmatic hernia - irreducible,J342.00,null,CPRD_GOLD
62920,Unspecified diaphragmatic hernia,J34y.00,null,CPRD_GOLD
12610,Atresia of anus with fistula,PB21400,null,CPRD_GOLD
18406,Congenital absence of ileum,PB11200,null,CPRD_GOLD
20126,Transposition of intestine NOS,PB53z00,null,CPRD_GOLD
24781,Other mouth anomalies NOS,PA25z00,null,CPRD_GOLD
27341,Other specified digestive system anomalies NOS,PByz.00,null,CPRD_GOLD
34229,Division of web of oesophagus,7608200,null,CPRD_GOLD
35278,Microgastria,PA76.00,null,CPRD_GOLD
38389,Atresia of bile duct,PB61400,null,CPRD_GOLD
39308,Aglossia,PA11.00,null,CPRD_GOLD
40528,Upper alimentary tract anomalies NOS,PAz..00,null,CPRD_GOLD
41359,Congenital stricture of anus with fistula,PB24000,null,CPRD_GOLD
44475,Duplication of gallbladder,PB64200,null,CPRD_GOLD
44471,Congenital absence of appendix,PB20100,null,CPRD_GOLD
46814,Congenital oesophageal ring,PA3..11,null,CPRD_GOLD
48269,Congenital absence of hepatic ducts,PB61500,null,CPRD_GOLD
49089,Congenital stenosis of anus without mention of fistula,PB24111,null,CPRD_GOLD
49382,Congenital salivary gland fistula,PA23.00,null,CPRD_GOLD
49707,Congenital oesophageal stenosis,PA31.11,null,CPRD_GOLD
50050,Megaloduodenum,PB56.00,null,CPRD_GOLD
50319,Fistula of sublingual gland,J074200,null,CPRD_GOLD
50444,Biliary atresia NOS,PB61z00,null,CPRD_GOLD
50443,Congenital absence of rectum,PB20200,null,CPRD_GOLD
53517,Congenital aganglionic megacolon,PB33.12,null,CPRD_GOLD
56383,Agenesis of rectum with fistula,PB20411,null,CPRD_GOLD
56901,Imperforate pharynx,PA27000,null,CPRD_GOLD
57606,Fistula of lip,J085200,null,CPRD_GOLD
58095,Congenital absence of rectum with fistula,PB20400,null,CPRD_GOLD
58855,Congenital absence of large intestine,PB20.00,null,CPRD_GOLD
59279,Transposition of appendix,PB53100,null,CPRD_GOLD
59920,Other specified other repair of diaphragm,7H0Dy00,null,CPRD_GOLD
61320,Displacement of Wharton's duct,PA29.11,null,CPRD_GOLD
61593,Hypoplasia of pancreas,PB72.00,null,CPRD_GOLD
62671,Congenital occlusion of anus NOS,PB23z00,null,CPRD_GOLD
62998,Universal mesentery,PB42.00,null,CPRD_GOLD
63395,Long segment Hirschsprung's disease,PB30000,null,CPRD_GOLD
65298,Congenital plicated tongue,PA18.00,null,CPRD_GOLD
65511,Aganglionic macrocolon,PB33.11,null,CPRD_GOLD
65762,Congenital obstruction of large intestine,PB22.00,null,CPRD_GOLD
66200,Transposition of caecum,PB53200,null,CPRD_GOLD
67373,Accessory pancreas,PB73.00,null,CPRD_GOLD
67877,Transposition of intestine,PB53.00,null,CPRD_GOLD
68484,Imperforate jejunum,PB14.00,null,CPRD_GOLD
68728,Duplication of caecum,PB52300,null,CPRD_GOLD
68884,Congenital absence of salivary gland,PA20.00,null,CPRD_GOLD
69054,Congenital stricture of rectum with fistula,PB25000,null,CPRD_GOLD
69641,Other repair of diaphragm NOS,7H0Dz00,null,CPRD_GOLD
69811,Congenital intestinal adhesions NOS,PB40z00,null,CPRD_GOLD
70044,Unspecified liver and biliary system anomaly NOS,PB60z00,null,CPRD_GOLD
71051,Congenital faecal fistula,PB5z000,null,CPRD_GOLD
71153,Atresia of rectum with fistula,PB21500,null,CPRD_GOLD
71180,Transposition of intestine, unspecified,PB53000,null,CPRD_GOLD
71255,Megalogastria,PA75.00,null,CPRD_GOLD
71858,Duplication of anus,PB52100,null,CPRD_GOLD
72271,Congenital cardiospasm,PA70.00,null,CPRD_GOLD
72283,Congenital floating gallbladder,PB6y200,null,CPRD_GOLD
73631,Duplication of intestine, unspecified,PB52000,null,CPRD_GOLD
94472,Giant oesophagus,PA44.00,null,CPRD_GOLD
94845,Aglossia - adactyly syndrome,PKy7600,null,CPRD_GOLD
96432,Congenital fistula of lip,PA24.00,null,CPRD_GOLD
97491,Ectopic digestive organs NOS,PBy2.11,null,CPRD_GOLD
97750,Anal septum,PB23.11,null,CPRD_GOLD
98276,[X]Other congenital malformations of tongue,Pyu5000,null,CPRD_GOLD
98402,Congenital absence of liver lobe,PB63100,null,CPRD_GOLD
