MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
97439016,Pseudoporencephaly,F280200,58638006,CPRD_AURUM
102746015,Rachischisis,P11z.11,61819007,CPRD_AURUM
130732014,Amyelia,P25y000,78784005,CPRD_AURUM
312788016,Spinal hydromeningocele,P111.00,203967002,CPRD_AURUM
312942019,Congenital adhesions of cerebral meninges,P245.00,204072001,CPRD_AURUM
312795013,Cervical hydromyelocele,P112100,203974007,CPRD_AURUM
376984010,Hydroencephalocele,P20..11,53776005,CPRD_AURUM
376995016,Rachischisis with hydrocephalus,P102.14,253113003,CPRD_AURUM
892761000006113,Anencephalus et al,P0...99,203922009,CPRD_AURUM
903521000006110,Encephalocele repair,7031099,171702004,CPRD_AURUM
1727681000006115,Congenital hypoplasia of cerebrum,,1727681000006104,CPRD_AURUM
2329491000000117,Excision of syncipital encephalocele,700A311,905981000000107,CPRD_AURUM
2328841000000118,Repair of post-traumatic meningoencephalocele,700A200,905671000000103,CPRD_AURUM
312798010,Hydromyelocele NOS,P112z00,38116000,CPRD_AURUM
312777010,Other spina bifida with hydrocephalus NOS,P10yz00,67531005,CPRD_AURUM
312737019,Iniencephaly NOS,P02z.00,2438005,CPRD_AURUM
312816018,Myelocystocele of unspecified site,P116000,203994003,CPRD_AURUM
312738012,Anencephalus and similar anomalies NOS,P0z..00,89369001,CPRD_AURUM
312880017,Aplasia of brain, part unspecified,P221.00,204032005,CPRD_AURUM
312789012,Spinal hydromeningocele, unspecified,P111000,203967002,CPRD_AURUM
400760014,Spina bifida without mention of hydrocephalus, unspecified,P110.00,67531005,CPRD_AURUM
400759016,Spina bifida with hydrocephalus - closed NOS,P103z00,203946002,CPRD_AURUM
255141000006118,Open iniencephaly,P021.00,203928008,CPRD_AURUM
645271000006118,Enlarged brain,P241.12,9740002,CPRD_AURUM
312785018,Thoracic spina bifida without mention of hydrocephalus,P110200,528711000000105,CPRD_AURUM
312832015,Spina bifida without hydrocephalus - open NOS,P117z00,268146009,CPRD_AURUM
377003010,Thoracolumbar spina bifida with hydrocephalus - closed,P103z11,253118007,CPRD_AURUM
312827016,Unspecified spina bifida without hydrocephalus - open,P117000,67531005,CPRD_AURUM
3200351000006114,Congenital hemiplegia,,43486001,CPRD_AURUM
7560631000006114,Microcephaly-oculo-digito-oesophageal-duodenal syndrome,,702431004,CPRD_AURUM
3937041000006116,Congenital malformation of the nervous system,,88425004,CPRD_AURUM
3504541000006119,Rachischisis (neural tube birth defect),,61819007,CPRD_AURUM
3018711000006116,Craniorachischisis (fissure skull/vertebral column),,32219008,CPRD_AURUM
3834411000006112,Syringomyelocele,,82058009,CPRD_AURUM
5614431000006110,Repair of spinal meningocele using distant flap,null,278540006,CPRD_AURUM
7577251000006111,Microcephaly, mental retardation and distinct features, with or without Hirschsprung disease,,703535000,CPRD_AURUM
2754211000006119,Congenital hypoplasia of cerebellum,,16026008,CPRD_AURUM
3818281000006118,Congenital lesion of spinal cord,,81042008,CPRD_AURUM
3142351000006117,Spastic congenital paraplegia,,39912006,CPRD_AURUM
3781461000006119,Amyelia (congenital absence of spinal cord),,78784005,CPRD_AURUM
11903421000006110,Suspected fetal anencephaly,,609416008,CPRD_AURUM
3720631000006111,Amyelencephalus,,75076004,CPRD_AURUM
7560621000006111,Microcephaly-oculo-digito-esophageal-duodenal syndrome,,702431004,CPRD_AURUM
3298381000006119,Diastematomyelia (congenital defect of spinal cord),,49351009,CPRD_AURUM
2578301000006115,Polymicrogyria,,4945003,CPRD_AURUM
2748591000006115,Orbital encephalocele,,15671007,CPRD_AURUM
4823041000006116,Lissencephaly syndrome,,204036008,CPRD_AURUM
12010231000006112,Agenesis of corpus callosum and abnormal genitalia syndrome,null,763797003,CPRD_AURUM
12035841000006116,Bilateral polymicrogyria,null,765757003,CPRD_AURUM
13501631000006112,Polymicrogyria with optic nerve hypoplasia,null,771336003,CPRD_AURUM
13792081000006112,Fetal spina bifida suspected,null,237152002,CPRD_AURUM
14132561000006112,Bilateral megalencephaly,null,879919001,CPRD_AURUM
3372001000006111,Hydrencephalocele,,53776005,CPRD_AURUM
5326531000006117,Total agenesis of cerebellum,,253172000,CPRD_AURUM
2998361000006116,Familial alobar holoprosencephaly,,30915001,CPRD_AURUM
11925091000006113,Microgyria,,4945003,CPRD_AURUM
7497601000006110,Suspected foetal anencephaly,,609416008,CPRD_AURUM
3418411000006116,Congenital ulegyria,,56531003,CPRD_AURUM
3371841000006110,Meningeorrhaphy for spinal meningocele,,53766007,CPRD_AURUM
3937011000006115,Congenital disease of nervous system,,88425004,CPRD_AURUM
5326711000006116,Arnold Chiari type 3,,253186001,CPRD_AURUM
4822501000006117,Iniencephaly - open,,203928008,CPRD_AURUM
3598571000006116,Posterior rachischisis,,67531005,CPRD_AURUM
12731901000006113,Anencephalus and similar anomalies NOS,,568221000000103,CPRD_AURUM
892771000006118,Anencephalus et al NOS,P0z..99,568221000000103,CPRD_AURUM
376982014,Congenital endaural hernia,P20..14,253100009,CPRD_AURUM
377001012,Fissured spine with hydrocephalus,P102.11,253116006,CPRD_AURUM
312784019,Cervical spina bifida without mention of hydrocephalus,P110100,32232003,CPRD_AURUM
3018891000006115,Spina bifida of cervical region,,32232003,CPRD_AURUM
4823291000006117,Congenital hypoplasia of spinal cord,,204081007,CPRD_AURUM
3372011000006114,Hydrocephalocele,,53776005,CPRD_AURUM
4823031000006114,Lissencephaly pachygyria,,204036008,CPRD_AURUM
3937021000006111,Congenital lesion of nervous system,,88425004,CPRD_AURUM
3818271000006116,Congenital disease of spinal cord,,81042008,CPRD_AURUM
3428721000006113,Congenital anomaly of brain,,57148006,CPRD_AURUM
12729881000006114,Other nervous system congenital anomalies,,654891000000106,CPRD_AURUM
312757015,Unspecified spina bifida with hydrocephalus - open,P102000,268143001,CPRD_AURUM
2329481000000119,Excision of sincipital encephalocele,700A300,905981000000107,CPRD_AURUM
508479016,Congenital absence of brain,P00..11,89369001,CPRD_AURUM
671061000006116,Fetus with central nervous system malformation + a/n problem,L250200,267252001,CPRD_AURUM
3937031000006114,Congenital deformity of nervous system,,88425004,CPRD_AURUM
7560611000006115,Microcephaly-mesobrachyphalangy-tracheoesophageal fistula syndrome,,702431004,CPRD_AURUM
2748581000006118,Encephalocele of orbit,,15671007,CPRD_AURUM
2511651000006110,Late congenital syphilis, latent (positive serology - cerebrospinal fluid, 2 years OR more),,827006,CPRD_AURUM
312764018,Unspecified spina bifida with hydrocephalus - closed,P103000,203946002,CPRD_AURUM
312810012,Myelocele of unspecified site,P115000,82058009,CPRD_AURUM
312820019,Myelocystocele NOS,P116z00,203994003,CPRD_AURUM
3750581000006114,Cryptomerorachischisis,,76916001,CPRD_AURUM
1805931000006112,Disorder of neuronal migration and differentiation,,253146009,CPRD_AURUM
376997012,Hydromyelocele with hydrocephalus,P102.12,253115005,CPRD_AURUM
312766016,Thoracic spina bifida with hydrocephalus - closed,P103200,203949009,CPRD_AURUM
312735010,Iniencephaly - closed,P020.00,203927003,CPRD_AURUM
106831000006116,Thoracic spinal hydromeningocele,P111200,415713009,CPRD_AURUM
5103921000006117,Suspect foetal spina bifida,,237152002,CPRD_AURUM
6382981000006119,Arnold Chiari type 2,,373587001,CPRD_AURUM
3018901000006116,Cervical spina bifida,,32232003,CPRD_AURUM
5657571000006110,Congenital hydrocephalus caused by toxoplasmosis,,281899002,CPRD_AURUM
12731071000006118,Nervous system anomalies NOS,,659731000000100,CPRD_AURUM
12718061000006113,Spina bifida without mention of hydrocephalus,,528691000000108,CPRD_AURUM
196761000006117,Rachischisis,P117.12,61819007,CPRD_AURUM
53817017,Craniorachischisis,P01..00,32219008,CPRD_AURUM
149231000006119,Septo-optic dysplasia,P246.00,7611002,CPRD_AURUM
312877018,Microcephalus NOS,P21z.00,1829003,CPRD_AURUM
907421000006117,[RFC] Spina bifida,,907421000006101,CPRD_AURUM
89369017,Closure of spinal meningocele,7043200,53766007,CPRD_AURUM
377050018,Schizencephaly,P240200,253159001,CPRD_AURUM
9257015,Microgyria,P226.00,4945003,CPRD_AURUM
1780250018,Dysplasia of cerebral cortex,P247.00,253153000,CPRD_AURUM
312762019,Spina bifida with hydrocephalus - open NOS,P102z00,268143001,CPRD_AURUM
497600015,Congenital monoplegia,F233.00,56409008,CPRD_AURUM
126061000006112,Stenosis of aqueduct of Sylvius,P230.12,50429003,CPRD_AURUM
265956014,Repair of meningoencephalocele,7031000,171702004,CPRD_AURUM
315656014,[X]Other specified congenital malformations of brain,Pyu0300,88425004,CPRD_AURUM
