"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"A061","Excision of basal encephalocele","A06.1",,"","HES-OPCSv4.9"
"A062","Excision of occipital encephalocele","A06.2",,"","HES-OPCSv4.9"
"A063","Excision of syncipital encephalocele","A06.3",,"","HES-OPCSv4.9"
"A064","Repair of post-traumatic meningoencephalocele","A06.4",,"","HES-OPCSv4.9"
"A391","Repair of meningoencephalocele","A39.1",,"","HES-OPCSv4.9"
"A49","Repair of spina bifida","A49",,"","HES-OPCSv4.9"
"A492","Closure of spinal myelomeningocele","A49.2",,"","HES-OPCSv4.9"
"A493","Closure of spinal meningocele","A49.3",,"","HES-OPCSv4.9"
"A498","Other specified repair of spina bifida","A49.8",,"","HES-OPCSv4.9"
"A499","Unspecified repair of spina bifida","A49.9",,"","HES-OPCSv4.9"
"R091","Open repair of meningomyelocele of fetus","R09.1",,"","HES-OPCSv4.9"
