MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
59044019,Congenital absence of lens,P335.11,35387008,CPRD_AURUM
298051014,Steroid-induced glaucoma residual stage,F453100,193549003,CPRD_AURUM
1228274017,Agenesis of lens,P335.12,35387008,CPRD_AURUM
990891000006119,Congenital eye anomaly NOS,P3...99,19416009,CPRD_AURUM
313025019,Anomalies of lens shape NOS,P336z00,33521009,CPRD_AURUM
581971000006113,Congenital displaced lens,P337.11,74969002,CPRD_AURUM
313018014,Total and subtotal congenital cataract,P334.00,204130004,CPRD_AURUM
3526208016,Cupping of optic discs of bilateral eyes co-occurrent and due to open-angle glaucoma,,737006004,CPRD_AURUM
5238751000006112,Aphakia - no lens capsule,,247067003,CPRD_AURUM
3526206017,Cupping of optic disc co-occurrent and due to open angle glaucoma,,736838001,CPRD_AURUM
3981301000006119,Developmental anomaly of eyelid,,91158006,CPRD_AURUM
3057441000006118,Glaucoma due to raised episcleral venous pressure,,34623005,CPRD_AURUM
3656831000006117,Developmental glaucoma,,71111008,CPRD_AURUM
3601481000006119,Subcapsular glaucomatous flecks,,67733005,CPRD_AURUM
4720541000006117,Eyeglasses for aphakia,,183132002,CPRD_AURUM
11923851000006114,Coloboma of retina,,39302008,CPRD_AURUM
2614341000006110,Agenesis of eyes,,7183006,CPRD_AURUM
4196731000006115,Glaucoma capsulare,,111514006,CPRD_AURUM
3874581000006115,Open cleft glaucoma,,84494001,CPRD_AURUM
3564471000006110,Subacute angle-closure glaucoma,,65460003,CPRD_AURUM
3656811000006111,Infantile glaucoma,,71111008,CPRD_AURUM
2808101000006113,Congenital deformity of eye,,19416009,CPRD_AURUM
5980951000006119,ECCE - Extracapsular cataract extraction and insertion of intraocular lens,null,308694002,CPRD_AURUM
6041611000006115,Secondary open-angle glaucoma with uveitis,null,314033007,CPRD_AURUM
3041361000006115,CNAG - Chronic narrow angle glaucoma,,33647009,CPRD_AURUM
3564461000006115,Interval angle-closure glaucoma,,65460003,CPRD_AURUM
8433311000006112,Revision of blepharoptosis repair,null,1060121000000107,CPRD_AURUM
9351591000006116,Suspected glaucoma of bilateral eyes caused by steroids,null,11001071000119104,CPRD_AURUM
9838741000006112,Left congenital chorioretinal coloboma,null,15665361000119106,CPRD_AURUM
9838771000006116,Bilateral congenital chorioretinal coloboma of eyes,null,15665401000119102,CPRD_AURUM
9846921000006120,Narrow angle glaucoma of both eyes,null,15736721000119106,CPRD_AURUM
9838721000006116,Right congenital chorioretinal coloboma,null,15665321000119100,CPRD_AURUM
13661751000006120,Open-angle glaucoma of left eye,null,787051000,CPRD_AURUM
13661761000006116,Open-angle glaucoma of right eye,null,787052007,CPRD_AURUM
13655531000006114,Congenital pit of optic disc,null,786076007,CPRD_AURUM
13682971000006116,Bilateral pseudoexfoliation glaucoma of eyes,null,344251000119103,CPRD_AURUM
13682981000006120,Pseudoexfoliation glaucoma of both eyes,null,344251000119103,CPRD_AURUM
13711451000006116,Open-angle glaucoma with optic disc cupping of right eye,null,15739881000119108,CPRD_AURUM
13715521000006112,Bilateral congenital esotropia of eyes,null,16054791000119104,CPRD_AURUM
13715541000006116,Congenital esotropia of both eyes,null,16054791000119104,CPRD_AURUM
13933811000006120,Glaucoma suspect,null,833278008,CPRD_AURUM
13994691000006120,Congenital cortical cataract of both eyes,null,681041000119106,CPRD_AURUM
14153851000006116,Angle closure glaucoma suspect,null,1003488007,CPRD_AURUM
14153861000006118,Angle closure glaucoma suspect of right eye,null,1003489004,CPRD_AURUM
3539651000006110,Congenital absence of cilia of eyelid,,63935007,CPRD_AURUM
2712301000006113,Ablepharon,,13401001,CPRD_AURUM
6532941000006119,Lens induced angle closure glaucoma,,392300000,CPRD_AURUM
3132231000006117,Fundus coloboma,,39302008,CPRD_AURUM
5501461000006111,Glaucoma due to ocular tumor or cyst,,267625001,CPRD_AURUM
2808121000006115,Congenital anomaly of the globe,,19416009,CPRD_AURUM
2614371000006119,Clinical anophthalmos,,7183006,CPRD_AURUM
3981311000006116,Congenital abnormality of eyelid,,91158006,CPRD_AURUM
3981331000006110,Congenital malformation of eyelid,,91158006,CPRD_AURUM
6532931000006112,Lens swelling glaucoma,,392300000,CPRD_AURUM
4772301000006112,Residual stage of corticosteroid-induced glaucoma,,193549003,CPRD_AURUM
4057541000006115,Congenital malformation of choroid,,95490000,CPRD_AURUM
5912721000006110,Steroid-induced glaucoma - borderline,,302895007,CPRD_AURUM
