"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"305774018","Transient hypertension of pregnancy - delivered","L123100","198965005","CPRD_AURUM"
"305776016","Transient hypertension of pregnancy - not delivered","L123300","198967002","CPRD_AURUM"
"355621014","Transient hypertension of pregnancy","L123600","237279007","CPRD_AURUM"
"991731000006118","Hypertension of preg. NOS","L123599","48194001","CPRD_AURUM"
"95981000006112","Transient hypertension of pregnancy","L123.00","237279007","CPRD_AURUM"
"96001000006111","Transient hypertension of pregnancy + postnatal complication","L123400","198968007","CPRD_AURUM"
"96011000006114","Transient hypertension of pregnancy - deliv with p/n comp","L123200","198966006","CPRD_AURUM"
"3279801000006119","Hypertension induced by pregnancy","","48194001","CPRD_AURUM"
"12728941000006118","Transient hypertension of pregnancy NOS","","695711000000100","CPRD_AURUM"
"495022012","Gestational hypertension","L123500","48194001","CPRD_AURUM"
"305773012","Transient hypertension of pregnancy unspecified","L123000","237279007","CPRD_AURUM"
"3279781000006118","GH - Gestational hypertension","","48194001","CPRD_AURUM"
"305780014","Transient hypertension of pregnancy NOS","L123z00","237279007","CPRD_AURUM"
"3279821000006112","PIH - Pregnancy-induced hypertension","","48194001","CPRD_AURUM"
"887821000006113","Hypertension of pregnancy","L123.99","237279007","CPRD_AURUM"
"887831000006111","Hypertension of preg. NOS","L123z99","695711000000100","CPRD_AURUM"
"8016561000006114","Postpartum pregnancy-induced hypertension","","40521000119100","CPRD_AURUM"
"5970791000006118","Non-proteinuric hypertension of pregnancy","","307632004","CPRD_AURUM"
