MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
305331019,Incomplete spontaneous abortion with embolism,L041600,198650006,CPRD_AURUM
305316011,Unspecified spontaneous abortion with metabolic disorder,L040400,13384007,CPRD_AURUM
305318012,Unspecified spontaneous abortion with embolism,L040600,43306002,CPRD_AURUM
782261000006117,Incomplete inevitable abortion complicated by embolism,L044200,307746006,CPRD_AURUM
729141000006111,Incomp inev abor comp by genital tract and pelvic infection,L044000,307749004,CPRD_AURUM
81371000006112,Unspec inev abor comp by genital tract and pelvic infect,L043000,59363009,CPRD_AURUM
5721361000006111,Blighted ovum and/or carneous mole,,286996009,CPRD_AURUM
2670041000006110,Spontaneous abortion complicated by renal failure,,10697004,CPRD_AURUM
2543241000006119,Miscarriage complicated by delayed and/or excessive haemorrhage,,2781009,CPRD_AURUM
4793281000006111,Complete spontaneous abortion with delayed or excessive hemorrhage,,198656000,CPRD_AURUM
2712071000006117,Spontaneous abortion complicated by metabolic disorder,,13384007,CPRD_AURUM
5972341000006110,Incomplete inevitable abortion complicated by delayed or excessive hemorrhage,,307752007,CPRD_AURUM
12451311000006116,Spontaneous misc 8-28 weeks,,184339009,CPRD_AURUM
3197781000006118,Spontaneous abortion complicated by embolism,,43306002,CPRD_AURUM
3057281000006113,Spontaneous abortion with complication,,34614007,CPRD_AURUM
11903041000006114,Unspec spontaneous abortion + other specified complication,,34614007,CPRD_AURUM
4731131000006114,Miscarriage at 8 to 28 weeks,,184339009,CPRD_AURUM
2543271000006110,Miscarriage complicated by delayed and/or excessive hemorrhage,,2781009,CPRD_AURUM
2763271000006115,Fetal death before 22 weeks with retention of dead fetus,,16607004,CPRD_AURUM
2543251000006117,Spontaneous abortion complicated by delayed AND/OR excessive hemorrhage,,2781009,CPRD_AURUM
5972241000006115,Incomplete inevitable miscarriage complicated by embolism,,307746006,CPRD_AURUM
451099014,Unspecified inevitable abortion complicated by embolism,L043200,59363009,CPRD_AURUM
12757771000006110,Incomplete spontaneous abortion,,16863000,CPRD_AURUM
12757761000006115,Incomplete miscarriage,,16863000,CPRD_AURUM
305328015,Incomplete spontaneous abortion with renal failure,L041300,198647008,CPRD_AURUM
576181000006110,Complete spontaneous abortion + pelvic organ/tissue damage,L042200,198657009,CPRD_AURUM
4793081000006116,Incomplete spontaneous abortion with delayed or excessive hemorrhage,,198645000,CPRD_AURUM
2763281000006117,MA - Missed abortion,,16607004,CPRD_AURUM
5972191000006115,Complete inevitable abortion complicated by delayed or excessive hemorrhage,,307735008,CPRD_AURUM
2543261000006115,Spontaneous abortion complicated by delayed AND/OR excessive haemorrhage,,2781009,CPRD_AURUM
451106012,Incomplete inevitable abortion complicated by embolism,L044211,307746006,CPRD_AURUM
1227351016,Unspecified inevitable miscarriage complicated by embolism,L043211,59363009,CPRD_AURUM
2763301000006118,Foetal death before 22 weeks with retention of dead foetus,,16607004,CPRD_AURUM
4731151000006119,Spontaneous abortion at 8 to 28 weeks,,184339009,CPRD_AURUM
6839881000006112,Incomplete spontaneous abortion with complication,,413338003,CPRD_AURUM
305315010,Unspecified spontaneous abortion with renal failure,L040300,10697004,CPRD_AURUM
81541000006113,Unspec spontaneous abortion + pelvic organ/tissue damage,L040200,58990004,CPRD_AURUM
12716171000006116,Incomplete abortion,,16863000,CPRD_AURUM
1221382012,Missed miscarriage,L02..11,16607004,CPRD_AURUM
305305016,Spontaneous abortion unspecified,L040.00,17369002,CPRD_AURUM
75030019,Carneous mole,L011.00,44979007,CPRD_AURUM
576161000006117,Complete spontaneous abortion + no mention of complication,L042y00,156073000,CPRD_AURUM
782311000006112,Incomplete inevitable miscarriage with other specified comp,L044y11,307737000,CPRD_AURUM
3519381000006119,Surgical treatment of miscarriage of any trimester,,62688006,CPRD_AURUM
