MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
45340,Spontaneous abortion with heavy bleeding,L040111,null,CPRD_GOLD
59116,Complete inevitable abortion with unspecified complication,L045x00,null,CPRD_GOLD
63778,Complete spontaneous abortion with complication NOS,L042x00,null,CPRD_GOLD
66365,Unspecified inevitable abortion with OS complication,L043y00,null,CPRD_GOLD
68669,Unspec spontaneous abortion + other specified complication,L040w00,null,CPRD_GOLD
94270,Unspecified inevitable abortion with unspec complication,L043x00,null,CPRD_GOLD
165,Miscarriage,L04..11,null,CPRD_GOLD
1737,Missed abortion,L02..00,null,CPRD_GOLD
68511,Unspec spontaneous abortion + delayed/excessive haemorrhage,L040100,null,CPRD_GOLD
68740,Incomplete spontaneous abortion with complication NOS,L041x00,null,CPRD_GOLD
99578,Unspecified inevitable miscarriage with unspec complication,L043x11,null,CPRD_GOLD
99736,Complete spontaneous abortion + genital tract/pelvic infect,L042000,null,CPRD_GOLD
99955,Unspecified spontaneous abortion with metabolic disorder,L040400,null,CPRD_GOLD
104747,Unspecified spontaneous abortion with complication NOS,L040x00,null,CPRD_GOLD
107001,Complete inevitable abor comp by delayed or excessive haem,L045100,null,CPRD_GOLD
107075,Unspecified inevitable miscarriage without complication,L043z11,null,CPRD_GOLD
107171,Complete spontaneous abortion +delayed/excessive haemorrhage,L042100,null,CPRD_GOLD
107604,Complete inevitable miscarriage complicated by embolism,L045211,null,CPRD_GOLD
107976,Complete inevitable miscar comp by delayed or excessive haem,L045111,null,CPRD_GOLD
108742,Complete inevitable miscarriage with unspecified comp,L045x11,null,CPRD_GOLD
109228,Unspecified inevitable miscarriage with OS complication,L043y11,null,CPRD_GOLD
111306,Incomplete inev mis comp by delayed or excessive haemorrhage,L044111,null,CPRD_GOLD
112579,Unspec inevit abortion comp by delayed or excessive haemorr,L043100,null,CPRD_GOLD
112681,Incomplete spontaneous abortion + pelvic organ/tissue damage,L041200,null,CPRD_GOLD
72459,Incomp inev abor comp by genital tract and pelvic infection,L044000,null,CPRD_GOLD
95625,Incomplete inevitable abortion complicated by embolism,L044200,null,CPRD_GOLD
2034,Inevitable abortion,L10zz11,null,CPRD_GOLD
3082,Spontaneous abortion,L04..00,null,CPRD_GOLD
4708,Dilation and curettage removal of missed abortion,7E08800,null,CPRD_GOLD
5107,Blighted ovum,L010.00,null,CPRD_GOLD
7114,Inevitable abortion incomplete,L044.00,null,CPRD_GOLD
7413,Spontaneous abortion incomplete,L041.00,null,CPRD_GOLD
7817,Spontaneous abortion complete,L042.00,null,CPRD_GOLD
8173,Inevitable abortion unspecified,L043.00,null,CPRD_GOLD
11234,Inevitable miscarriage unspecified,L043.11,null,CPRD_GOLD
11323,Inevitable miscarriage complete,L045.11,null,CPRD_GOLD
12241,Missed miscarriage,L02..11,null,CPRD_GOLD
17625,Inevitable miscarriage incomp,L044.11,null,CPRD_GOLD
22379,Spontaneous abortion NOS,L04z.00,null,CPRD_GOLD
29439,Incomplete spontaneous abortion NOS,L041z00,null,CPRD_GOLD
29940,Complete spontaneous abortion NOS,L042z00,null,CPRD_GOLD
30276,Retained products after spontaneous abortion,L041z11,null,CPRD_GOLD
33501,Inevitable abortion complete,L045.00,null,CPRD_GOLD
33989,Complete inevitable abortion without complication,L045z00,null,CPRD_GOLD
38625,Carneous mole,L011.00,null,CPRD_GOLD
