"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"305331019","Incomplete spontaneous abortion with embolism","L041600","198650006","CPRD_AURUM"
"305347017","Complete spontaneous abortion with embolism","L042600","198663000","CPRD_AURUM"
"305410018","Incomplete legal abortion with embolism","L051600","198711003","CPRD_AURUM"
"305476015","Complete illegal abortion with embolism","L062600","198762000","CPRD_AURUM"
"305533015","Failed attempted abortion with embolism","L086.00","198812002","CPRD_AURUM"
"305610013","Failed medical abortion, complicated by embolism","L0A3.00","198876008","CPRD_AURUM"
"307740016","Antenatal deep vein thrombosis - delivered","L413100","200232006","CPRD_AURUM"
"307749015","Postnatal deep vein thrombosis with postnatal complication","L414200","200238005","CPRD_AURUM"
"307780013","Obstetric cerebral venous thrombosis","L417.00","200258006","CPRD_AURUM"
"307781012","Cerebral venous thrombosis in pregnancy","L417000","200259003","CPRD_AURUM"
"307782017","Cerebral venous thrombosis in the puerperium","L417100","200260008","CPRD_AURUM"
"307815016","Obstetric pulmonary embolism","L43..00","200284000","CPRD_AURUM"
"307816015","Obstetric pulmonary embolus","L43..11","200284000","CPRD_AURUM"
"307834016","Obstetric blood-clot pulmonary embolism - delivered","L432100","200301007","CPRD_AURUM"
"307848016","Obstetric pyaemic and septic pulmonary embolism - delivered","L433100","200308001","CPRD_AURUM"
"418852012","Phlegmasia alba dolens - obstetric","L414.12","280966008","CPRD_AURUM"
"497564017","DVT - deep venous thrombosis, postnatal","L414.11","56272000","CPRD_AURUM"
"888681000006112","Antepartum DVT","L413.99","49956009","CPRD_AURUM"
"888691000006110","Postpartum DVT","L414.99","56272000","CPRD_AURUM"
"305318012","Unspecified spontaneous abortion with embolism","L040600","43306002","CPRD_AURUM"
"305507011","Unspecified incomplete abortion with embolism","L071600","198650006","CPRD_AURUM"
"307838018","Obstetric blood-clot pulmonary embolism NOS","L432z00","200299000","CPRD_AURUM"
"307847014","Obstetric pyaemic and septic pulmonary embolism unspecified","L433000","267284008","CPRD_AURUM"
"307856018","Obstetric pyaemic and septic pulmonary embolism NOS","L433z00","267284008","CPRD_AURUM"
"307861016","Other obstetric pulmonary embolism unspecified","L43y000","200284000","CPRD_AURUM"
"307862011","Other obstetric pulmonary embolism - delivered","L43y100","200284000","CPRD_AURUM"
"307867017","Obstetric pulmonary embolism NOS","L43zz00","200284000","CPRD_AURUM"
"307868010","Obstetric pulmonary embolism NOS, unspecified","L43z000","200284000","CPRD_AURUM"
"307869019","Obstetric pulmonary embolism NOS - delivered","L43z100","200284000","CPRD_AURUM"
"307871019","Obstetric pulmonary embolism NOS with antenatal complication","L43z300","200284000","CPRD_AURUM"
"24951000006110","Other obstetric pulmonary embolism - delivered + p/n comp","L43y200","200284000","CPRD_AURUM"
"24981000006119","Other obstetric pulmonary embolism with antenatal comp","L43y300","200284000","CPRD_AURUM"
"24991000006116","Other obstetric pulmonary embolism with postnatal comp","L43y400","200284000","CPRD_AURUM"
"195111000006113","Pyaemic obstetric embolism","L433.11","267284008","CPRD_AURUM"
"211691000006114","Postnatal deep vein thrombosis - delivered with p/n comp","L414100","200237000","CPRD_AURUM"
"268641000006113","Obstetric pulmonary embolism NOS","L43z.00","200284000","CPRD_AURUM"
"268741000006119","Obstetric pyaemic and septic pulm embolism - deliv +p/n comp","L433200","200309009","CPRD_AURUM"
"269411000006115","Obstetric blood-clot pulm embolism - delivered with p/n comp","L432200","200302000","CPRD_AURUM"
"782261000006117","Incomplete inevitable abortion complicated by embolism","L044200","307746006","CPRD_AURUM"
"4802531000006118","Obstetric pyemic and septic pulmonary embolism with antenatal complication","","200310004","CPRD_AURUM"
"7498481000006117","Termination of pregnancy complicated by blood-clot embolism","","609459003","CPRD_AURUM"
"4802491000006118","Obstetric pyemic and septic pulmonary embolism - delivered","","200308001","CPRD_AURUM"
"7498901000006118","Induced termination of pregnancy complicated by pulmonary embolism","","609480009","CPRD_AURUM"
"4794261000006116","Failed attempted termination of pregnancy with embolism","","198812002","CPRD_AURUM"
"7498261000006114","Induced termination of pregnancy complicated by embolism","","609449004","CPRD_AURUM"
"4802301000006116","Puerperal pulmonary embolism","","200284000","CPRD_AURUM"
"3414351000006118","Postpartum deep vein thrombosis","","56272000","CPRD_AURUM"
"4802551000006113","Obstetric pyemic and septic pulmonary embolism with postnatal complication","","200311000","CPRD_AURUM"
"3197781000006118","Spontaneous abortion complicated by embolism","","43306002","CPRD_AURUM"
"7498271000006119","Termination of pregnancy complicated by embolism","","609449004","CPRD_AURUM"
"4802511000006112","Obstetric pyemic and septic pulmonary embolism - delivered with postnatal complication","","200309009","CPRD_AURUM"
"7498911000006115","Termination of pregnancy complicated by pulmonary embolism","","609480009","CPRD_AURUM"
"7499001000006113","Induced termination of pregnancy complicated by septic embolism","","609486003","CPRD_AURUM"
"4793911000006112","Incomplete illegal termination of pregnancy with embolism","","198750004","CPRD_AURUM"
"4794441000006119","Failed medical termination of pregnancy, complicated by embolism","","198876008","CPRD_AURUM"
"3308951000006115","Antepartum deep vein thrombosis","","49956009","CPRD_AURUM"
"305450015","Unspecified illegal abortion with embolism","L060600","49632008","CPRD_AURUM"
"305494014","Unspecified abortion with embolism","L070600","17369002","CPRD_AURUM"
"305579013","Embolism following abortive pregnancy","L096.00","609449004","CPRD_AURUM"
"305583013","Blood-clot embolism following abortive pregnancy","L096200","609459003","CPRD_AURUM"
"305587014","Pyaemic embolism following abortive pregnancy","L096500","609486003","CPRD_AURUM"
"305588016","Septic embolism following abortive pregnancy","L096600","609486003","CPRD_AURUM"
"307739018","Antenatal deep vein thrombosis unspecified","L413000","49956009","CPRD_AURUM"
"307742012","Antenatal deep vein thrombosis NOS","L413z00","49956009","CPRD_AURUM"
"451099014","Unspecified inevitable abortion complicated by embolism","L043200","59363009","CPRD_AURUM"
"1212360016","Embolism NOS following abortive pregnancy","L096z00","609449004","CPRD_AURUM"
"19831000006119","Other phlebitis/thrombosis in preg/puerperium + a/n comp","L415300","267280004","CPRD_AURUM"
"19851000006114","Other phlebitis/thrombosis in preg/puerperium -del +p/n comp","L415200","267280004","CPRD_AURUM"
"19871000006116","Other phlebitis/thrombosis in pregnancy/puerperium - deliv","L415100","267280004","CPRD_AURUM"
"19881000006118","Other phlebitis/thrombosis in pregnancy/puerperium unsp","L415000","267280004","CPRD_AURUM"
"417381000006111","[X]Other+unspcf failed induced abortion,complicated/embolism","Lyu0600","49416000","CPRD_AURUM"
"12758221000006116","Embolus following abortive pregnancy","","198850008","CPRD_AURUM"
"305580011","Embolus following abortive pregnancy","L096.11","609449004","CPRD_AURUM"
"19861000006111","Other phlebitis/thrombosis in pregnancy and puerperium NOS","L415z00","267280004","CPRD_AURUM"
"497563011","Postnatal deep vein thrombosis","L414.00","56272000","CPRD_AURUM"
"398448013","Obstetric pyaemic and septic pulmonary embolism","L433.00","267284008","CPRD_AURUM"
"305463014","Incomplete illegal abortion with embolism","L061600","198750004","CPRD_AURUM"
"305520014","Unspecified complete abortion with embolism","L072600","198663000","CPRD_AURUM"
"307833010","Obstetric blood-clot pulmonary embolism unspecified","L432000","200299000","CPRD_AURUM"
"307866014","Other obstetric pulmonary embolism NOS","L43yz00","200284000","CPRD_AURUM"
"307872014","Obstetric pulmonary embolism NOS with postnatal complication","L43z400","200284000","CPRD_AURUM"
"269431000006114","Obstetric blood-clot pulmonary embolism + a/n complication","L432300","200303005","CPRD_AURUM"
"632731000006118","DVT - deep venous thrombosis, antenatal","L413.11","49956009","CPRD_AURUM"
"305390016","Unspecified legal abortion with embolism","L050600","57734001","CPRD_AURUM"
"4793231000006110","Incomplete pregnancy loss with embolism","","198650006","CPRD_AURUM"
"4793731000006115","Complete legal termination of pregnancy with embolism","","198724003","CPRD_AURUM"
"7498471000006115","Induced termination of pregnancy complicated by blood-clot embolism","","609459003","CPRD_AURUM"
"3308961000006118","Antepartum deep phlebothrombosis","","49956009","CPRD_AURUM"
"12717221000006112","Embolism following abortive pregnancy","","198850008","CPRD_AURUM"
"888731000006119","Obstetrical pulmonary embolism","L43..99","200284000","CPRD_AURUM"
"451106012","Incomplete inevitable abortion complicated by embolism","L044211","307746006","CPRD_AURUM"
"307741017","Antenatal deep vein thrombosis with antenatal complication","L413200","200233001","CPRD_AURUM"
"307832017","Obstetric blood-clot pulmonary embolism","L432.00","200299000","CPRD_AURUM"
"305431015","Complete legal abortion with embolism","L052600","198724003","CPRD_AURUM"
"305585018","Pulmonary embolism following abortive pregnancy","L096400","609480009","CPRD_AURUM"
"149011000006118","Septic obstetric embolism","L433.12","267284008","CPRD_AURUM"
"200961000006116","Puerperal thrombosis NOS","L41z613","237343001","CPRD_AURUM"
"268671000006117","Obstetric pulmonary embolism NOS - delivered with p/n comp","L43z200","200284000","CPRD_AURUM"
"398450017","Other obstetric pulmonary embolism","L43y.00","200284000","CPRD_AURUM"
"4793561000006116","Incomplete legal termination of pregnancy with embolism","","198711003","CPRD_AURUM"
"3414341000006115","Postpartum deep phlebothrombosis","","56272000","CPRD_AURUM"
"3438081000006113","Legal abortion complicated by embolism","","57734001","CPRD_AURUM"
"5499801000006116","Obstetric pyemic and septic pulmonary embolism","","267284008","CPRD_AURUM"
"307747018","Postnatal deep vein thrombosis unspecified","L414000","56272000","CPRD_AURUM"
"307750015","Postnatal deep vein thrombosis NOS","L414z00","56272000","CPRD_AURUM"
"495552014","Antenatal deep vein thrombosis","L413.00","49956009","CPRD_AURUM"
"451113012","Complete inevitable abortion complicated by embolism","L045200","307750004","CPRD_AURUM"
"451451019","Thrombophlebitis of legs in pregnancy","L412511","308136002","CPRD_AURUM"
"268721000006114","Obstetric pyaemic and septic pulm embolism + a/n comp","L433300","200310004","CPRD_AURUM"
"268731000006112","Obstetric pyaemic and septic pulm embolism + p/n comp","L433400","200311000","CPRD_AURUM"
"269441000006116","Obstetric blood-clot pulmonary embolism + p/n complication","L432400","200304004","CPRD_AURUM"
"12450411000006118","Unspecified legal abortion with embolism","","609446006","CPRD_AURUM"
"801981000006111","Gestational thrombosis NOS","L41z513","20956009","CPRD_AURUM"
"308193011","[X]Other obstetric embolism","Lyu6400","200284000","CPRD_AURUM"
"4794091000006116","Complete illegal termination of pregnancy with embolism","","198762000","CPRD_AURUM"
"3438071000006110","Legal termination of pregnancy complicated by embolism","","57734001","CPRD_AURUM"
"19801000006110","Other phlebitis and thrombosis in pregnancy and puerperium","L415.00","267280004","CPRD_AURUM"
"19841000006112","Other phlebitis/thrombosis in preg/puerperium + p/n comp","L415400","267280004","CPRD_AURUM"
"7499011000006111","Termination of pregnancy complicated by septic embolism","","609486003","CPRD_AURUM"
"5004981000006112","Intracranial septic embolism","","230220006","CPRD_AURUM"
