"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"4607","Postnatal deep vein thrombosis","L414.00","","CPRD_GOLD"
"7174","Obstetric pulmonary embolism","L43..00","","CPRD_GOLD"
"16250","Phlegmasia alba dolens - obstetric","L414.12","","CPRD_GOLD"
"18830","DVT - deep venous thrombosis, postnatal","L414.11","","CPRD_GOLD"
"23588","Postnatal deep vein thrombosis with postnatal complication","L414200","","CPRD_GOLD"
"23667","Antenatal deep vein thrombosis","L413.00","","CPRD_GOLD"
"26873","DVT - deep venous thrombosis, antenatal","L413.11","","CPRD_GOLD"
"44404","Obstetric pulmonary embolism NOS with postnatal complication","L43z400","","CPRD_GOLD"
"49269","Obstetric blood-clot pulmonary embolism","L432.00","","CPRD_GOLD"
"52679","Obstetric cerebral venous thrombosis","L417.00","","CPRD_GOLD"
"55974","Cerebral venous thrombosis in the puerperium","L417100","","CPRD_GOLD"
"58971","Gestational thrombosis NOS","L41z513","","CPRD_GOLD"
"59059","Septic obstetric embolism","L433.12","","CPRD_GOLD"
"59572","Failed medical abortion, complicated by embolism","L0A3.00","","CPRD_GOLD"
"61203","Antenatal deep vein thrombosis NOS","L413z00","","CPRD_GOLD"
"61204","Postnatal deep vein thrombosis NOS","L414z00","","CPRD_GOLD"
"63319","Embolus following abortive pregnancy","L096.11","","CPRD_GOLD"
"65579","Other phlebitis and thrombosis in pregnancy and puerperium","L415.00","","CPRD_GOLD"
"65725","Antenatal deep vein thrombosis unspecified","L413000","","CPRD_GOLD"
"66102","Other phlebitis/thrombosis in preg/puerperium + a/n comp","L415300","","CPRD_GOLD"
"67006","Pulmonary embolism following abortive pregnancy","L096400","","CPRD_GOLD"
"68438","Obstetric pulmonary embolus","L43..11","","CPRD_GOLD"
"69686","Cerebral venous thrombosis in pregnancy","L417000","","CPRD_GOLD"
"69921","Postnatal deep vein thrombosis unspecified","L414000","","CPRD_GOLD"
"72517","Puerperal thrombosis NOS","L41z613","","CPRD_GOLD"
"73569","Obstetric pulmonary embolism NOS","L43z.00","","CPRD_GOLD"
"73914","Thrombophlebitis of legs in pregnancy","L412511","","CPRD_GOLD"
"93583","Embolism following abortive pregnancy","L096.00","","CPRD_GOLD"
"94405","Antenatal deep vein thrombosis - delivered","L413100","","CPRD_GOLD"
"94736","Septic embolism following abortive pregnancy","L096600","","CPRD_GOLD"
"95625","Incomplete inevitable abortion complicated by embolism","L044200","","CPRD_GOLD"
"97367","Obstetric pulmonary embolism NOS - delivered","L43z100","","CPRD_GOLD"
"98639","Obstetric pulmonary embolism NOS","L43zz00","","CPRD_GOLD"
"99594","Other phlebitis/thrombosis in pregnancy/puerperium unsp","L415000","","CPRD_GOLD"
"100502","Antenatal deep vein thrombosis with antenatal complication","L413200","","CPRD_GOLD"
"101944","Obstetric pulmonary embolism NOS, unspecified","L43z000","","CPRD_GOLD"
"107708","Other phlebitis/thrombosis in pregnancy/puerperium - deliv","L415100","","CPRD_GOLD"
"109337","Other obstetric pulmonary embolism NOS","L43yz00","","CPRD_GOLD"
"112051","Unspecified legal abortion with embolism","L050600","","CPRD_GOLD"
"112056","Incomplete legal abortion with embolism","L051600","","CPRD_GOLD"
"112061","Complete legal abortion with embolism","L052600","","CPRD_GOLD"
"112068","Unspecified illegal abortion with embolism","L060600","","CPRD_GOLD"
"112078","Incomplete illegal abortion with embolism","L061600","","CPRD_GOLD"
"112087","Complete illegal abortion with embolism","L062600","","CPRD_GOLD"
"112097","Failed attempted abortion with embolism","L086.00","","CPRD_GOLD"
"112113","Blood-clot embolism following abortive pregnancy","L096200","","CPRD_GOLD"
"112115","Pyaemic embolism following abortive pregnancy","L096500","","CPRD_GOLD"
"112117","Embolism NOS following abortive pregnancy","L096z00","","CPRD_GOLD"
"112137","[X]Other+unspcf failed induced abortion,complicated/embolism","Lyu0600","","CPRD_GOLD"
"112358","Postnatal deep vein thrombosis - delivered with p/n comp","L414100","","CPRD_GOLD"
"112578","Obstetric blood-clot pulmonary embolism + a/n complication","L432300","","CPRD_GOLD"
"112710","Obstetric blood-clot pulmonary embolism NOS","L432z00","","CPRD_GOLD"
"113365","Other phlebitis/thrombosis in preg/puerperium + p/n comp","L415400","","CPRD_GOLD"
"113599","Obstetric blood-clot pulmonary embolism unspecified","L432000","","CPRD_GOLD"
"113630","Obstetric blood-clot pulm embolism - delivered with p/n comp","L432200","","CPRD_GOLD"
"114089","Other obstetric pulmonary embolism","L43y.00","","CPRD_GOLD"
