"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"O072","Failed medical abortion, complicated by embolism","O07.2","","ICD10"
"O077","Other and unspecified failed attempted abortion, complicated by embolism","O07.7","","ICD10"
"O082","Embolism following abortion and ectopic and molar pregnancy","O08.2","","ICD10"
"O223","Deep phlebothrombosis in pregnancy","O22.3","","ICD10"
"O225","Cerebral venous thrombosis in pregnancy","O22.5","","ICD10"
"O871","Deep phlebothrombosis in the puerperium","O87.1","","ICD10"
"O873","Cerebral venous thrombosis in the puerperium","O87.3","","ICD10"
"O88","Obstetric embolism","O88","","ICD10"
"O882","Obstetric blood-clot embolism","O88.2","","ICD10"
"O883","Obstetric pyaemic and septic embolism","O88.3","","ICD10"
