MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
312942019,Congenital adhesions of cerebral meninges,P245.00,204072001,CPRD_AURUM
313622017,Congenital absence of larynx,P830111,204535000,CPRD_AURUM
315187012,Orbinsky syndrome,PGy0212,205532005,CPRD_AURUM
315585013,Single monster, specified type,PKy3.00,205796009,CPRD_AURUM
315506012,Mis-shapen spleen,PK07.00,205736006,CPRD_AURUM
315497012,Aberrant spleen,PK00.00,65146007,CPRD_AURUM
361008014,Agenesis of nose,P811000,111317000,CPRD_AURUM
490949011,Conjoined twins with two heads,PK41.11,38439000,CPRD_AURUM
1222366014,Encephalocutaneous angiomatosis,PK61.12,19886006,CPRD_AURUM
864871000006118,Accessory spleen excision,7840299,11973000,CPRD_AURUM
1727681000006115,Congenital hypoplasia of cerebrum,,1727681000006104,CPRD_AURUM
314539017,Nonteratogenic anomalies NOS,PE8z.00,66091009,CPRD_AURUM
315560016,Other specified conjoined twins,PK4y.00,41337007,CPRD_AURUM
489201000006115,Aplasia of adrenal gland,PK15.00,83190008,CPRD_AURUM
117896012,Transposition of thoracic viscera,PK32.11,70978004,CPRD_AURUM
278520015,Other specified separation of conjoined twins,7L0Cy00,51271008,CPRD_AURUM
4057381000006118,Renal arteriovenous malformation,,95474000,CPRD_AURUM
5326761000006118,Lumbosacral agenesis,,253190004,CPRD_AURUM
4019741000006114,Congenital narrowed subclavian artery,,93388003,CPRD_AURUM
3337041000006114,Congenital anomaly of skull,null,51655004,CPRD_AURUM
3397191000006112,Laryngotomy with removal of laryngocele,null,55251006,CPRD_AURUM
3397201000006110,Excision of laryngocele,null,55251006,CPRD_AURUM
3654311000006114,Agenesis of rib,,70974002,CPRD_AURUM
3114551000006110,Congenital anomaly of integument,,38164009,CPRD_AURUM
5013991000006110,Excision of intracranial arteriovenous malformation,null,230905005,CPRD_AURUM
5011571000006117,Subarachnoid hemorrhage due to ruptured arteriovenous malformation,null,230718007,CPRD_AURUM
3679481000006112,Supernumerary rib in cervical region,,72535009,CPRD_AURUM
4017131000006111,Congenital small cerebrum,,93249003,CPRD_AURUM
2618931000006111,Congenital atresia of epiglottis,,7481002,CPRD_AURUM
2638091000006119,Congenital musculoskeletal deformity of spine and chest,,8649001,CPRD_AURUM
4825281000006116,Congenital absence of umbilical artery,,204470001,CPRD_AURUM
3475861000006116,Congenital stricture of artery,,60091004,CPRD_AURUM
3623851000006115,Poikiloderma congenitale,,69093006,CPRD_AURUM
3787881000006117,Congenital anomaly of muscle AND/OR tendon,,79191007,CPRD_AURUM
4668381000006118,Embolization of arteriovenous abnormality,,175786007,CPRD_AURUM
5504171000006113,Congenital generalized alopecia,,268288009,CPRD_AURUM
2628121000006118,Congenital anomaly of thyroid cartilage,,8032007,CPRD_AURUM
3696201000006117,Congenital abnormality of musculoskeletal system,,73573004,CPRD_AURUM
3818281000006118,Congenital lesion of spinal cord,,81042008,CPRD_AURUM
2926551000006115,SBS - Short bowel syndrome,,26629001,CPRD_AURUM
3429851000006115,Congenital ossification of sutures of skull,,57219006,CPRD_AURUM
3334811000006112,Laryngocele,,51523009,CPRD_AURUM
2546411000006112,Nevoid congenital alopecia,,2965006,CPRD_AURUM
3289241000006112,Hernia through foramen of Morgagni,,48763007,CPRD_AURUM
3088711000006119,Albright syndrome,,36517007,CPRD_AURUM
3781461000006119,Amyelia (congenital absence of spinal cord),,78784005,CPRD_AURUM
3008551000006114,Congenital atresia of artery,,31570000,CPRD_AURUM
3298381000006119,Diastematomyelia (congenital defect of spinal cord),,49351009,CPRD_AURUM
3675911000006111,Congenital deformity of larynx,,72292009,CPRD_AURUM
2876841000006112,ANN - Anonychia,,23610003,CPRD_AURUM
