MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
2709,Congenital musculoskeletal anomalies NOS,PGz..00,null,CPRD_GOLD
3336,Spina bifida occulta,PG17.00,null,CPRD_GOLD
3374,Congenital absence of thyroid gland,PK25100,null,CPRD_GOLD
3797,Thyroglossal duct cyst,PK23.00,null,CPRD_GOLD
9751,Persistent umbilical sinus,PD73.00,null,CPRD_GOLD
10427,Specified anomalies of nails,PH5..00,null,CPRD_GOLD
16897,Craniosynostosis,PG03.00,null,CPRD_GOLD
17914,Skull, face and jaw congenital deformities,PE0..00,null,CPRD_GOLD
19918,Conjoined twins NOS,PK4z.00,null,CPRD_GOLD
22768,Other anomaly of spine NOS,PG1yz00,null,CPRD_GOLD
23091,Other congenital skin anomaly NOS,PH3yz00,null,CPRD_GOLD
29367,Skull and face bone anomalies,PG0..00,null,CPRD_GOLD
32424,Anomalies of pituitary gland,PK24.00,null,CPRD_GOLD
35991,Pili torti,PH44.11,null,CPRD_GOLD
42389,Anomaly of artery NEC,P761.00,null,CPRD_GOLD
44150,Certain congenital musculoskeletal deformities,PE...00,null,CPRD_GOLD
47670,Anomaly of vein NEC,P764.00,null,CPRD_GOLD
54258,Skull, face or jaw congenital deformities NOS,PE0z.00,null,CPRD_GOLD
57769,Amyotrophica congenita,PGyy000,null,CPRD_GOLD
24207,Absence or hypoplasia of the umbilical artery,P75..00,null,CPRD_GOLD
25089,Acardia,PKyz100,null,CPRD_GOLD
38119,Congenital absence of skull bones,PG00.00,null,CPRD_GOLD
40320,Other specified circulatory system anomalies,P7y..00,null,CPRD_GOLD
42643,Proteus syndrome,PK64.00,null,CPRD_GOLD
44151,Anomaly of cricoid cartilage,P831000,null,CPRD_GOLD
45376,Other anomalies of nose NOS,P81z.00,null,CPRD_GOLD
45918,Congenital anomaly of spinal meninges,P25y200,null,CPRD_GOLD
46978,Absent parathyroid gland,PK20.00,null,CPRD_GOLD
47596,Transposition of viscera unspecified,PK30.11,null,CPRD_GOLD
48194,Platyspondylia,PG1y000,null,CPRD_GOLD
48646,Other specified correction of deformity of palate,7525y00,null,CPRD_GOLD
48842,Anomaly of thymus gland NOS,PK28z00,null,CPRD_GOLD
49244,Accessory adrenal gland,PK12.00,null,CPRD_GOLD
49742,Congenital pharyngeal polyp,PA27100,null,CPRD_GOLD
56160,Orbinsky syndrome,PGy0212,null,CPRD_GOLD
51107,Separation of conjoined twins NOS,7L0Cz00,null,CPRD_GOLD
52022,Kalischer's disease,PK61.11,null,CPRD_GOLD
52579,Absent nose,P811.00,null,CPRD_GOLD
52883,Other specified anomalies of diaphragm,PG6y.00,null,CPRD_GOLD
52822,Congenital complete fusion of spine,PG15000,null,CPRD_GOLD
53028,Congenital partial fusion of spine - unbalanced,PG15200,null,CPRD_GOLD
53474,Congenital cerebral hernia,P20..13,null,CPRD_GOLD
53631,Craniolacunia,PG0G.11,null,CPRD_GOLD
54235,Other congenital skin anomalies,PH3y.00,null,CPRD_GOLD
56147,Diaxial (double) monster,PK45.00,null,CPRD_GOLD
