"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"B286","Excision of accessory breast tissue","B28.6",,"","HES-OPCSv4.9"
"F29","Correction of deformity of palate","F29",,"","HES-OPCSv4.9"
"F298","Other specified correction of deformity of palate","F29.8",,"","HES-OPCSv4.9"
"F299","Unspecified correction of deformity of palate","F29.9",,"","HES-OPCSv4.9"
"J693","Excision of accessory spleen","J69.3",,"","HES-OPCSv4.9"
"L751","Excision of congenital arteriovenous malformation","L75.1",,"","HES-OPCSv4.9"
"L753","Embolisation of arteriovenous abnormality NEC","L75.3",,"","HES-OPCSv4.9"
"L754","Percutaneous transluminal embolisation of arteriovenous malformation NEC","L75.4",,"","HES-OPCSv4.9"
"L755","Percutaneous transluminal venous embolisation of arteriovenous malformation","L75.5",,"","HES-OPCSv4.9"
"L756","Percutaneous transluminal arterial and venous embolisation of arteriovenous malformation","L75.6",,"","HES-OPCSv4.9"
"L796","Repair of anomalous caval vein connection","L79.6",,"","HES-OPCSv4.9"
"X17","Separation of conjoined twins","X17",,"","HES-OPCSv4.9"
"X171","Combined operations to separate conjoined twins","X17.1",,"","HES-OPCSv4.9"
"X178","Other specified separation of conjoined twins","X17.8",,"","HES-OPCSv4.9"
"X179","Unspecified separation of conjoined twins","X17.9",,"","HES-OPCSv4.9"
