"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"26988014","Eclampsia","L126.00","15938005","CPRD_AURUM"
"305801019","Severe pre-eclampsia - delivered","L125100","198983002","CPRD_AURUM"
"305802014","Severe pre-eclampsia - delivered with postnatal complication","L125200","198984008","CPRD_AURUM"
"305804010","Severe pre-eclampsia with postnatal complication","L125400","198986005","CPRD_AURUM"
"305809017","Eclampsia - delivered with postnatal complication","L126200","198991006","CPRD_AURUM"
"305810010","Eclampsia in pregnancy","L126500","198992004","CPRD_AURUM"
"305818015","Pre-eclampsia or eclampsia with pre-existing hypertension","L127.00","198997005","CPRD_AURUM"
"355628015","Eclampsia in labour","L126600","237283007","CPRD_AURUM"
"402165017","Fetus affected by maternal toxaemia","Q000.11","268794002","CPRD_AURUM"
"305789010","Mild or unspecified pre-eclampsia - delivered","L124100","198974007","CPRD_AURUM"
"305788019","Mild or unspecified pre-eclampsia unspecified","L124000","398254007","CPRD_AURUM"
"305791019","Mild or unspecified pre-eclampsia - not delivered","L124300","398254007","CPRD_AURUM"
"305795011","Mild or unspecified pre-eclampsia NOS","L124z00","398254007","CPRD_AURUM"
"305805011","Severe pre-eclampsia NOS","L125z00","46764007","CPRD_AURUM"
"305817013","Eclampsia NOS","L126z00","15938005","CPRD_AURUM"
"398342013","Mild or unspecified pre-eclampsia","L124.00","398254007","CPRD_AURUM"
"212961000006118","Pre-eclampsia or eclampsia + pre-existing hypertension NOS","L127z00","198997005","CPRD_AURUM"
"212971000006113","Pre-eclampsia or eclampsia with hypertension + p/n comp","L127400","199003007","CPRD_AURUM"
"212991000006114","Pre-eclampsia or eclampsia with hypertension - delivered","L127100","198999008","CPRD_AURUM"
"213001000006110","Pre-eclampsia or eclampsia with hypertension - not delivered","L127300","199002002","CPRD_AURUM"
"702961000006110","Mild or unspecified pre-eclampsia - delivered with p/n comp","L124200","398254007","CPRD_AURUM"
"703001000006118","Mild or unspecified pre-eclampsia with p/n complication","L124400","398254007","CPRD_AURUM"
"819741000006116","HELLP - Syndrome haemolysis, elev liver enzyme low platelets","L12A.00","95605009","CPRD_AURUM"
"5105261000006118","Eclampsia in childbirth","","237283007","CPRD_AURUM"
"3255831000006110","Severe proteinuric hypertension of pregnancy","","46764007","CPRD_AURUM"
"6600681000006117","EPH - Oedema, proteinuria and hypertension of pregnancy","","398254007","CPRD_AURUM"
"3162231000006114","PET - Mild pre-eclamptic toxemia","","41114007","CPRD_AURUM"
"6600701000006119","PET - Pre-eclamptic toxaemia","","398254007","CPRD_AURUM"
"3255821000006112","PET - Severe pre-eclamptic toxemia","","46764007","CPRD_AURUM"
"3162221000006111","PET - Mild pre-eclamptic toxaemia","","41114007","CPRD_AURUM"
"3162241000006116","Mild proteinuric hypertension of pregnancy","","41114007","CPRD_AURUM"
"3162211000006115","Mild pre-eclamptic toxaemia","","41114007","CPRD_AURUM"
"6600691000006119","Pre-eclamptic toxaemia","","398254007","CPRD_AURUM"
"4059591000006119","HELLP - Syndrome of hemolysis, elevated liver enzymes and low platelet","","95605009","CPRD_AURUM"
"3255811000006116","PET - Severe pre-eclamptic toxaemia","","46764007","CPRD_AURUM"
"5105251000006115","Eclampsia in labor","","237283007","CPRD_AURUM"
"3255791000006115","Severe pre-eclamptic toxemia","","46764007","CPRD_AURUM"
"2752941000006115","Toxaemia with convulsions","","15938005","CPRD_AURUM"
"3255801000006119","Severe pre-eclamptic toxaemia","","46764007","CPRD_AURUM"
"4059561000006110","Haemolysis-elevated liver enzymes-low platelet count syndrome","","95605009","CPRD_AURUM"
"5105241000006117","Intrapartum eclampsia","","237283007","CPRD_AURUM"
"2752911000006119","Toxemia with convulsions","","15938005","CPRD_AURUM"
"2744251000006116","Toxaemia of pregnancy","","15394000","CPRD_AURUM"
"4059601000006110","Hemolysis-elevated liver enzymes-low platelet count syndrome","","95605009","CPRD_AURUM"
"6600711000006116","EPH - Edema, proteinuria and hypertension of pregnancy","","398254007","CPRD_AURUM"
"6600721000006112","PET - Pre-eclamptic toxemia","","398254007","CPRD_AURUM"
"887841000006118","Pre-eclampsia NOS","L124z99","648001000000103","CPRD_AURUM"
"12729391000006117","Mild or unspecified pre-eclampsia NOS","","648001000000103","CPRD_AURUM"
"355625017","Moderate pre-eclampsia","L129.00","237281009","CPRD_AURUM"
"305803016","Severe pre-eclampsia - not delivered","L125300","198985009","CPRD_AURUM"
"305811014","Eclampsia - not delivered","L126300","198992004","CPRD_AURUM"
"305813012","Eclampsia with postnatal complication","L126400","198993009","CPRD_AURUM"
"68583017","Mild pre-eclampsia","L124500","41114007","CPRD_AURUM"
"77942011","Severe pre-eclampsia","L125.00","46764007","CPRD_AURUM"
"305807015","Eclampsia unspecified","L126000","15938005","CPRD_AURUM"
"213011000006113","Pre-eclampsia or eclampsia with hypertension unspecified","L127000","198997005","CPRD_AURUM"
"703011000006115","Mild pre-eclampsia","L124.11","41114007","CPRD_AURUM"
"2752921000006110","Eclamptic toxemia","","15938005","CPRD_AURUM"
"991571000006114","Pre-eclampsia NOS","L124.99","41114007","CPRD_AURUM"
"494622019","Proteinuric hypertension of pregnancy","L12B.00","398254007","CPRD_AURUM"
"403581000006112","[X]Oedema,proteinuria+hypertens in pregnancy,childbrth,puerp","Lyu1.00","198609003","CPRD_AURUM"
"1226072015","Pre-eclampsia, unspecified","L124600","398254007","CPRD_AURUM"
"6600731000006110","Pre-eclamptic toxemia","","398254007","CPRD_AURUM"
"4059571000006115","HELLP syndrome","","95605009","CPRD_AURUM"
"5105201000006119","Moderate proteinuric hypertension of pregnancy","","237281009","CPRD_AURUM"
"6600741000006117","PE - Pre-eclampsia","","398254007","CPRD_AURUM"
"3162201000006118","Mild pre-eclamptic toxemia","","41114007","CPRD_AURUM"
"305800018","Severe pre-eclampsia unspecified","L125000","46764007","CPRD_AURUM"
"4795121000006118","Antepartum eclampsia","","198992004","CPRD_AURUM"
"305808013","Eclampsia - delivered","L126100","198990007","CPRD_AURUM"
