"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"617","Toxaemia NOS","L124.12","","CPRD_GOLD"
"3364","Eclampsia - not delivered","L126300","","CPRD_GOLD"
"7103","Fetus affected by maternal toxaemia","Q000.11","","CPRD_GOLD"
"8744","Pre-eclampsia, unspecified","L124600","","CPRD_GOLD"
"9067","Severe pre-eclampsia","L125.00","","CPRD_GOLD"
"9429","Mild or unspecified pre-eclampsia","L124.00","","CPRD_GOLD"
"12090","Eclampsia","L126.00","","CPRD_GOLD"
"14867","Mild pre-eclampsia","L124.11","","CPRD_GOLD"
"16421","Eclampsia - delivered","L126100","","CPRD_GOLD"
"16879","Mild pre-eclampsia","L124500","","CPRD_GOLD"
"17805","Moderate pre-eclampsia","L129.00","","CPRD_GOLD"
"27800","Mild or unspecified pre-eclampsia - not delivered","L124300","","CPRD_GOLD"
"33715","HELLP - Syndrome haemolysis, elev liver enzyme low platelets","L12A.00","","CPRD_GOLD"
"34173","Proteinuric hypertension of pregnancy","L12B.00","","CPRD_GOLD"
"39117","Eclampsia in pregnancy","L126500","","CPRD_GOLD"
"40686","Severe pre-eclampsia unspecified","L125000","","CPRD_GOLD"
"40730","Severe pre-eclampsia NOS","L125z00","","CPRD_GOLD"
"42088","Severe pre-eclampsia - delivered","L125100","","CPRD_GOLD"
"42947","Pre-eclampsia or eclampsia with hypertension - delivered","L127100","","CPRD_GOLD"
"43664","Pre-eclampsia or eclampsia with pre-existing hypertension","L127.00","","CPRD_GOLD"
"44306","Eclampsia in labour","L126600","","CPRD_GOLD"
"47741","Pre-eclampsia or eclampsia with hypertension unspecified","L127000","","CPRD_GOLD"
"48347","Mild or unspecified pre-eclampsia with p/n complication","L124400","","CPRD_GOLD"
"49893","Mild or unspecified pre-eclampsia - delivered","L124100","","CPRD_GOLD"
"53160","Pre-eclampsia or eclampsia with hypertension - not delivered","L127300","","CPRD_GOLD"
"55986","Eclampsia unspecified","L126000","","CPRD_GOLD"
"57233","Mild or unspecified pre-eclampsia unspecified","L124000","","CPRD_GOLD"
"59124","Mild or unspecified pre-eclampsia NOS","L124z00","","CPRD_GOLD"
"62916","Severe pre-eclampsia with postnatal complication","L125400","","CPRD_GOLD"
"62919","Severe pre-eclampsia - delivered with postnatal complication","L125200","","CPRD_GOLD"
"66860","Mild or unspecified pre-eclampsia - delivered with p/n comp","L124200","","CPRD_GOLD"
"67287","Eclampsia NOS","L126z00","","CPRD_GOLD"
"67447","Severe pre-eclampsia - not delivered","L125300","","CPRD_GOLD"
"70487","Eclampsia - delivered with postnatal complication","L126200","","CPRD_GOLD"
"70891","Eclampsia with postnatal complication","L126400","","CPRD_GOLD"
"90577","Pre-eclampsia or eclampsia with hypertension - del+p/n comp","L127200","","CPRD_GOLD"
"92998","[X]Oedema,proteinuria+hypertens in pregnancy,childbrth,puerp","Lyu1.00","","CPRD_GOLD"
"93055","Pre-eclampsia or eclampsia + pre-existing hypertension NOS","L127z00","","CPRD_GOLD"
"105933","Pre-eclampsia or eclampsia with hypertension + p/n comp","L127400","","CPRD_GOLD"
