"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"O11X","Pre-eclampsia superimposed on chronic hypertension","O11","","ICD10"
"O14","Pre-eclampsia","O14","","ICD10"
"O140","Mild to moderate pre-eclampsia","O14.0","","ICD10"
"O141","Severe pre-eclampsia","O14.1","","ICD10"
"O142","HELLP syndrome","O14.2","","ICD10"
"O149","Pre-eclampsia, unspecified","O14.9","","ICD10"
"O15","Eclampsia","O15","","ICD10"
"O150","Eclampsia in pregnancy","O15.0","","ICD10"
"O151","Eclampsia in labour","O15.1","","ICD10"
"O152","Eclampsia in the puerperium","O15.2","","ICD10"
"O159","Eclampsia, unspecified as to time period","O15.9","","ICD10"
