"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"271392011","Trendelenburg pulmonary embolectomy","7A09311","175262009","CPRD_AURUM"
"2675439010","Pulmonary thromboendarterectomy","7A0B000","426900002","CPRD_AURUM"
"632111000000118","Recurrent pulmonary embolism","G401100","438773007","CPRD_AURUM"
"193601000006115","Pulmonary embolus","G401.12","59282003","CPRD_AURUM"
"728841000006111","Infarction - pulmonary","G401.11","64662007","CPRD_AURUM"
"4666341000006111","Transluminal pulmonary embolectomy","","175268008","CPRD_AURUM"
"3462921000006119","PE - Pulmonary embolism","","59282003","CPRD_AURUM"
"3551761000006115","Infarct of lung","","64662007","CPRD_AURUM"
"905451000006118","[RFC] Pulmonary embolism/pulmonary hypertension","","905451000006102","CPRD_AURUM"
"98484016","Pulmonary embolism","G401.00","59282003","CPRD_AURUM"
"232951000006114","Percutaneous transluminal embolectomy of pulmonary artery","7A0A100","175268008","CPRD_AURUM"
"261021000006119","Open embolectomy of pulmonary artery","7A09300","175262009","CPRD_AURUM"
"4666331000006118","Percutaneous embolectomy of pulmonary artery","","175268008","CPRD_AURUM"
"216591000006115","Post operative pulmonary embolus","G401000","194883006","CPRD_AURUM"
"4666351000006113","TL - Transluminal pulmonary embolectomy","","175268008","CPRD_AURUM"
"499917019","Pulmonary infarct","G402.00","64662007","CPRD_AURUM"
"6452821000006114","Pulmonary embolus care","","386280004","CPRD_AURUM"
"8106001000006111","Saddle embolus of pulmonary artery","","328511000119109","CPRD_AURUM"
"7967281000006119","Pulmonary embolism with pulmonary infarction","","1001000119102","CPRD_AURUM"
"5057591000006116","Pulmonary thromboembolism","","233935004","CPRD_AURUM"
"7609581000006110","Acute pulmonary embolism","","706870000","CPRD_AURUM"
"5057621000006119","Acute massive pulmonary embolism","","233936003","CPRD_AURUM"
"3767281000006116","Pulmonary vein thrombosis","","77892009","CPRD_AURUM"
"5057651000006111","Subacute massive pulmonary embolism","","233937007","CPRD_AURUM"
"5057661000006113","SAMPE - Subacute massive pulmonary embolism","","233937007","CPRD_AURUM"
