"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1266","Pulmonary embolism","G401.00","","CPRD_GOLD"
"4717","Pulmonary infarct","G402.00","","CPRD_GOLD"
"9701","Pulmonary embolus","G401.12","","CPRD_GOLD"
"18121","Post operative pulmonary embolus","G401000","","CPRD_GOLD"
"24444","Infarction - pulmonary","G401.11","","CPRD_GOLD"
"34687","Trendelenburg pulmonary embolectomy","7A09311","","CPRD_GOLD"
"45740","Open embolectomy of pulmonary artery","7A09300","","CPRD_GOLD"
"65459","Percutaneous transluminal embolectomy of pulmonary artery","7A0A100","","CPRD_GOLD"
"89238","Pulmonary thromboendarterectomy","7A0B000","","CPRD_GOLD"
"96209","Recurrent pulmonary embolism","G401100","","CPRD_GOLD"
