MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
5587071000006119,Diabetes mellitus in neonate small for gestational age,,276560009,CPRD_AURUM
5499531000006114,Infant underweight for gestational age,,267258002,CPRD_AURUM
4798401000006111,SFD - Small-for-dates baby,,199612005,CPRD_AURUM
5499511000006115,Light for gestational dates,,267258002,CPRD_AURUM
5499521000006111,Light for dates,,267258002,CPRD_AURUM
4798411000006114,Small for gestational age baby,,199612005,CPRD_AURUM
4798381000006111,Small-for-dates baby,,199612005,CPRD_AURUM
306717011,Small-for-dates unspecified,L265000,267258002,CPRD_AURUM
306723018,Small-for-dates NOS,L265z00,267258002,CPRD_AURUM
306719014,Small-for-dates - delivered,L265100,199612005,CPRD_AURUM
5499551000006119,Small for gestational age,,267258002,CPRD_AURUM
1495277016,Light for gestational age,Q13..00,267258002,CPRD_AURUM
743281000006113,Light for gestational age,Q113.00,267258002,CPRD_AURUM
