DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
62927,Sertraline 50mg tablets (Wockhardt UK Ltd) Sertraline hydrochloride Tablet 50mg Oral,04030300,null,null,null,CPRD_GOLD
32401,Sertraline 50mg tablets (A A H Pharmaceuticals Ltd) Sertraline hydrochloride Tablet 50mg Oral,04030300,null,null,null,CPRD_GOLD
78626,Sertraline 15mg/5ml oral suspension Sertraline hydrochloride Oral suspension 3mg/1ml Oral,04030300,null,null,null,CPRD_GOLD
61503,Sertraline 100mg tablets (Actavis UK Ltd) Sertraline hydrochloride 100mg Tablet Oral,04030300,null,null,null,CPRD_GOLD
66560,Sertraline 100mg tablets (Mylan) Sertraline hydrochloride 100mg Tablet Oral,04030300,null,null,null,CPRD_GOLD
42387,Sertraline 50mg tablets (Actavis UK Ltd) Sertraline hydrochloride Tablet 50mg Oral,04030300,null,null,null,CPRD_GOLD
49519,Sertraline 100mg/5ml oral suspension Sertraline hydrochloride Oral suspension 20mg/1ml Oral,04030300,null,null,null,CPRD_GOLD
75952,Sertraline 50mg tablets (Tillomed Laboratories Ltd) Sertraline hydrochloride Tablet 50mg Oral,04030300,null,null,null,CPRD_GOLD
44944,Sertraline 100mg tablets (Teva UK Ltd) Sertraline hydrochloride Tablet 100mg Oral,04030300,null,null,null,CPRD_GOLD
82384,Lustral 100mg tablets (Lexon (UK) Ltd)Sertraline hydrochloride100mgTabletOral ,04030300,null,null,null,CPRD_GOLD
54081,Sertraline 25mg/5ml oral suspension Sertraline hydrochloride Oral suspension 5mg/1ml Oral,04030300,null,null,null,CPRD_GOLD
54826,Sertraline 150mg/5ml oral suspension Sertraline hydrochloride Oral suspension 30mg/1ml Oral,04030300,null,null,null,CPRD_GOLD
54933,Sertraline 100mg tablets (PLIVA Pharma Ltd) Sertraline hydrochloride Tablet 100mg Oral,04030300,null,null,null,CPRD_GOLD
58664,Sertraline 50mg tablets (Mylan) Sertraline hydrochloride Tablet 50mg Oral,04030300,null,null,null,CPRD_GOLD
58723,Sertraline 50mg tablets (Accord Healthcare Ltd) Sertraline hydrochloride Tablet 50mg Oral,04030300,null,null,null,CPRD_GOLD
55488,Sertraline 50mg tablets (Teva UK Ltd) Sertraline hydrochloride Tablet 50mg Oral,04030300,null,null,null,CPRD_GOLD
45915,Sertraline 50mg tablets (Almus Pharmaceuticals Ltd) Sertraline hydrochloride Tablet 50mg Oral,04030300,null,null,null,CPRD_GOLD
65771,Sertraline 200mg/5ml oral suspension (Special Order) Sertraline Oral Suspension Oral,04030300,null,null,null,CPRD_GOLD
