"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"283466015","Anti-suicide psychotherapy","8G6..00","183401008","CPRD_AURUM"
"410813016","[X]Self poisoning with weedkiller","U20C.11","274912004","CPRD_AURUM"
"1488407019","High suicide risk","1BD5.00","394685004","CPRD_AURUM"
"1780423014","Thoughts of deliberate self harm","1BDA.00","401229000","CPRD_AURUM"
"1780425019","Intent of deliberate self harm with detailed plans","1BDC.00","401231009","CPRD_AURUM"
"1787477010","At risk of DSH - deliberate self harm","1BD8.00","401206008","CPRD_AURUM"
"851561000006119","Risk of deliberate self harm","","851561000006103","CPRD_AURUM"
"902521000006116","Suicide - successful","TK...99","269725004","CPRD_AURUM"
"902551000006113","Suicide - domestic gas","TK1..98","219125007","CPRD_AURUM"
"902631000006119","Suicide - drowning","TK4..98","219141008","CPRD_AURUM"
"902651000006114","Suicide - firearms","TK5..98","219142001","CPRD_AURUM"
"902691000006115","Suicide - jump from high","TK7..98","219155000","CPRD_AURUM"
"971271000006116","Injury from deliberate self harm","","971271000006100","CPRD_AURUM"
"973031000006113","** Suicide prevention - the challenge confronted","","973031000006109","CPRD_AURUM"
"991091000006116","Suicide - NOS","TK...97","269725004","CPRD_AURUM"
"1773231000006111","Suspected drug overdose","","1773231000006107","CPRD_AURUM"
"1793911000000112","Suspected drug overdose","1JP..00","473128000","CPRD_AURUM"
"1807701000006112","Moderate risk of deliberate self harm","","1807701000006108","CPRD_AURUM"
"1809451000006113","Threatening suicide","","41501003","CPRD_AURUM"
"1809461000006110","Non-fatal suicide behaviour","","1809461000006106","CPRD_AURUM"
"1821291000006113","Recent suicide attempt","","1821291000006109","CPRD_AURUM"
"1872921000006114","Safeguarding vulnerability - self harm","","1872921000006105","CPRD_AURUM"
"1874031000006119","Urgent care service accessed - self inflicted incident","","1874031000006103","CPRD_AURUM"
"1981261000006115","Accident & emergency patient group - deliberate self-harm","","1981261000006104","CPRD_AURUM"
"1984251000006119","Manchester triage - Overdose / poisoning","","1984251000006103","CPRD_AURUM"
"2000841000006115","MHIP comprehensive assessment - self-harm thoughts - strong","","2000841000006104","CPRD_AURUM"
"2000871000006111","MHIP comprehensive assessment - self-harm thoughts - intense","","2000871000006107","CPRD_AURUM"
"2000891000006112","MHIP comprehensive assessment - motivated to act on self-harm thoughts","","2000891000006108","CPRD_AURUM"
"2000901000006111","MHIP comprehensive assessment - prevented from acting on self-harm thoughts","","2000901000006107","CPRD_AURUM"
"2001011000006117","MHIP comprehensive assessment - current suicide plans","","2001011000006101","CPRD_AURUM"
"2001021000006113","MHIP - specific/serious/feasible suicide plans","","2001021000006109","CPRD_AURUM"
"2001041000006118","MHIP - specific/serious/feasible self-harm plans","","2001041000006102","CPRD_AURUM"
"2001081000006112","MHIP - resources to act on self-harm plans","","2001081000006108","CPRD_AURUM"
"2001101000006116","MHIP - confidence to complete suicide plans","","2001101000006100","CPRD_AURUM"
"2001251000006113","MHIP comprehensive assessment - risk of self-harm","","2001251000006109","CPRD_AURUM"
"2001291000006119","MHIP comprehensive assessment - medium risk of self-harm","","2001291000006103","CPRD_AURUM"
