"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"171","Overdose of drug","SL...15","","CPRD_GOLD"
"697","[X]Deliberate drug overdose / other poisoning","U20..11","","CPRD_GOLD"
"713","Drug and medicament poisoning NOS","SLHz.00","","CPRD_GOLD"
"2557","Suicide + selfinflicted poisoning by drug or medicine NOS","TK05.00","","CPRD_GOLD"
"3246","Attempted suicide","TK...15","","CPRD_GOLD"
"3406","Para-suicide","TK...17","","CPRD_GOLD"
"3423","Injury - self-inflicted","TK...12","","CPRD_GOLD"
"3985","[X]Suicide","U2...13","","CPRD_GOLD"
"5242","[X]Self mutilation","U2E..00","","CPRD_GOLD"
"5589","Suicide risk","1BD4.00","","CPRD_GOLD"
"5616","Suicide + selfinflicted inj oth mean hang/strangle/suffocate","TK3y.00","","CPRD_GOLD"
"6595","Cause of overdose - deliberate","TK...11","","CPRD_GOLD"
"8229","[X]Para-suicide","U2...15","","CPRD_GOLD"
"9604","Slashed wrists self inflicted","TK60111","","CPRD_GOLD"
"10057","Deliberate self-harm","ZX1..13","","CPRD_GOLD"
"10463","[X]Intent self poison/exposure to alcohol","U209.00","","CPRD_GOLD"
"10464","Self-harm","ZX...00","","CPRD_GOLD"
"10644","Poisoning - self-inflicted","TK...13","","CPRD_GOLD"
"10717","[X]Self inflicted injury","U2...11","","CPRD_GOLD"
"11122","Self inflicted lacerations to wrist","TK60100","","CPRD_GOLD"
"11708","Overdose of biological substance","SL...14","","CPRD_GOLD"
"11753","Intent of deliberate self harm with detailed plans","1BDC.00","","CPRD_GOLD"
"12333","Cutting self","ZX13.00","","CPRD_GOLD"
"12694","Thoughts of deliberate self harm","1BDA.00","","CPRD_GOLD"
"13557","Suicide and selfinflicted injury by hanging","TK30.00","","CPRD_GOLD"
"14853","Suicide + selfinflicted poisoning by analgesic/antipyretic","TK00.00","","CPRD_GOLD"
"15177","Suicide and selfinflicted injury by cutting","TK60.00","","CPRD_GOLD"
"16485","Suicide + selfinflicted poisoning by barbiturates","TK01.00","","CPRD_GOLD"
"16907","[X]Deliberate drug poisoning","U30..11","","CPRD_GOLD"
"17046","[X]Intentional self-harm","U2...00","","CPRD_GOLD"
"17378","[X]Attempted suicide","U2...14","","CPRD_GOLD"
"18379","[X]Overdose - paracetamol","U200.11","","CPRD_GOLD"
"18671","At risk of DSH - deliberate self harm","1BD8.00","","CPRD_GOLD"
"18805","Cutting own wrists","ZX13100","","CPRD_GOLD"
"18983","Self-scalding","ZX1I.00","","CPRD_GOLD"
"20625","[X]Injury - self-inflicted","U2...12","","CPRD_GOLD"
"20650","[X]Intent self poison nonopioid analgesic unspecif place","U200z00","","CPRD_GOLD"
"21027","Suicide and self harm","TK...14","","CPRD_GOLD"
"21029","Suicide and selfinflicted injury","TK...00","","CPRD_GOLD"
"21211","[X]Intent self poison/exposure to nonopioid analgesic","U200.00","","CPRD_GOLD"
"22199","Suicide + selfinflicted poisoning by other drugs/medicines","TK04.00","","CPRD_GOLD"
"22281","Biting self","ZX11.00","","CPRD_GOLD"
"23080","Suicide + selfinflicted injury by hang/strangulate/suffocate","TK3..00","","CPRD_GOLD"
"23753","Suicide and selfinflicted injury by jumping from high place","TK7..00","","CPRD_GOLD"
"24086","[X]Self poisoning from glue solvent","U20A.11","","CPRD_GOLD"
"24461","[X]Intentional self harm by smoke, fire and flames","U27..00","","CPRD_GOLD"
