"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"X706","Intentional self-harm by hanging, strangulation and suffocation","X70.6","","ICD10"
"X70","Intentional self-harm by hanging, strangulation and suffocation","X70","","ICD10"
"X700","Intentional self-harm by hanging, strangulation and suffocation","X70.0","","ICD10"
"X701","Intentional self-harm by hanging, strangulation and suffocation","X70.1","","ICD10"
"X702","Intentional self-harm by hanging, strangulation and suffocation","X70.2","","ICD10"
"X703","Intentional self-harm by hanging, strangulation and suffocation","X70.3","","ICD10"
"X704","Intentional self-harm by hanging, strangulation and suffocation","X70.4","","ICD10"
"X705","Intentional self-harm by hanging, strangulation and suffocation","X70.5","","ICD10"
"X707","Intentional self-harm by hanging, strangulation and suffocation","X70.7","","ICD10"
"X708","Intentional self-harm by hanging, strangulation and suffocation","X70.8","","ICD10"
"X709","Intentional self-harm by hanging, strangulation and suffocation","X70.9","","ICD10"
"X71","Intentional self-harm by drowning and submersion","X71","","ICD10"
"X710","Intentional self-harm by drowning and submersion","X71.0","","ICD10"
"X711","Intentional self-harm by drowning and submersion","X71.1","","ICD10"
"X712","Intentional self-harm by drowning and submersion","X71.2","","ICD10"
"X713","Intentional self-harm by drowning and submersion","X71.3","","ICD10"
"X714","Intentional self-harm by drowning and submersion","X71.4","","ICD10"
"X715","Intentional self-harm by drowning and submersion","X71.5","","ICD10"
"X716","Intentional self-harm by drowning and submersion","X71.6","","ICD10"
"X717","Intentional self-harm by drowning and submersion","X71.7","","ICD10"
"X718","Intentional self-harm by drowning and submersion","X71.8","","ICD10"
"X719","Intentional self-harm by drowning and submersion","X71.9","","ICD10"
"X72","Intentional self-harm by handgun discharge","X72","","ICD10"
"X720","Intentional self-harm by handgun discharge","X72.0","","ICD10"
"X721","Intentional self-harm by handgun discharge","X72.1","","ICD10"
"X722","Intentional self-harm by handgun discharge","X72.2","","ICD10"
"X723","Intentional self-harm by handgun discharge","X72.3","","ICD10"
"X724","Intentional self-harm by handgun discharge","X72.4","","ICD10"
"X725","Intentional self-harm by handgun discharge","X72.5","","ICD10"
"X726","Intentional self-harm by handgun discharge","X72.6","","ICD10"
"X727","Intentional self-harm by handgun discharge","X72.7","","ICD10"
"X728","Intentional self-harm by handgun discharge","X72.8","","ICD10"
"X729","Intentional self-harm by handgun discharge","X72.9","","ICD10"
"X73","Intentional self-harm by rifle, shotgun and larger firearm discharge","X73","","ICD10"
"X730","Intentional self-harm by rifle, shotgun and larger firearm discharge","X73.0","","ICD10"
"X731","Intentional self-harm by rifle, shotgun and larger firearm discharge","X73.1","","ICD10"
"X732","Intentional self-harm by rifle, shotgun and larger firearm discharge","X73.2","","ICD10"
"X733","Intentional self-harm by rifle, shotgun and larger firearm discharge","X73.3","","ICD10"
"X734","Intentional self-harm by rifle, shotgun and larger firearm discharge","X73.4","","ICD10"
"X735","Intentional self-harm by rifle, shotgun and larger firearm discharge","X73.5","","ICD10"
"X736","Intentional self-harm by rifle, shotgun and larger firearm discharge","X73.6","","ICD10"
"X737","Intentional self-harm by rifle, shotgun and larger firearm discharge","X73.7","","ICD10"
"X738","Intentional self-harm by rifle, shotgun and larger firearm discharge","X73.8","","ICD10"
"X739","Intentional self-harm by rifle, shotgun and larger firearm discharge","X73.9","","ICD10"
"X74","Intentional self-harm by other and unspecified firearm discharge","X74","","ICD10"
"X740","Intentional self-harm by other and unspecified firearm discharge","X74.0","","ICD10"
"X741","Intentional self-harm by other and unspecified firearm discharge","X74.1","","ICD10"
"X742","Intentional self-harm by other and unspecified firearm discharge","X74.2","","ICD10"
"X743","Intentional self-harm by other and unspecified firearm discharge","X74.3","","ICD10"
"X744","Intentional self-harm by other and unspecified firearm discharge","X74.4","","ICD10"
"X745","Intentional self-harm by other and unspecified firearm discharge","X74.5","","ICD10"
"X746","Intentional self-harm by other and unspecified firearm discharge","X74.6","","ICD10"
"X747","Intentional self-harm by other and unspecified firearm discharge","X74.7","","ICD10"
"X748","Intentional self-harm by other and unspecified firearm discharge","X74.8","","ICD10"
"X749","Intentional self-harm by other and unspecified firearm discharge","X74.9","","ICD10"
"X75","Intentional self-harm by explosive material","X75","","ICD10"
"X750","Intentional self-harm by explosive material","X75.0","","ICD10"
"X751","Intentional self-harm by explosive material","X75.1","","ICD10"
"X752","Intentional self-harm by explosive material","X75.2","","ICD10"
"X753","Intentional self-harm by explosive material","X75.3","","ICD10"
"X754","Intentional self-harm by explosive material","X75.4","","ICD10"
"X755","Intentional self-harm by explosive material","X75.5","","ICD10"
"X756","Intentional self-harm by explosive material","X75.6","","ICD10"
"X757","Intentional self-harm by explosive material","X75.7","","ICD10"
"X758","Intentional self-harm by explosive material","X75.8","","ICD10"
"X759","Intentional self-harm by explosive material","X75.9","","ICD10"
"X76","Intentional self-harm by smoke, fire and flames","X76","","ICD10"
"X760","Intentional self-harm by smoke, fire and flames","X76.0","","ICD10"
"X761","Intentional self-harm by smoke, fire and flames","X76.1","","ICD10"
"X762","Intentional self-harm by smoke, fire and flames","X76.2","","ICD10"
"X763","Intentional self-harm by smoke, fire and flames","X76.3","","ICD10"
"X764","Intentional self-harm by smoke, fire and flames","X76.4","","ICD10"
"X765","Intentional self-harm by smoke, fire and flames","X76.5","","ICD10"
"X766","Intentional self-harm by smoke, fire and flames","X76.6","","ICD10"
"X767","Intentional self-harm by smoke, fire and flames","X76.7","","ICD10"
"X768","Intentional self-harm by smoke, fire and flames","X76.8","","ICD10"
