"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"G08X","Intracranial and intraspinal phlebitis and thrombophlebitis","G08","","ICD10"
"I636","Cerebral infarction due to cerebral venous thrombosis, nonpyogenic","I63.6","","ICD10"
"I676","Nonpyogenic thrombosis of intracranial venous system","I67.6","","ICD10"
"I801","Phlebitis and thrombophlebitis of femoral vein","I80.1","","ICD10"
"I802","Phlebitis and thrombophlebitis of other deep vessels of lower extremities","I80.2","","ICD10"
"I81X","Portal vein thrombosis","I81","","ICD10"
"I82","Other venous embolism and thrombosis","I82","","ICD10"
"I820","Budd-Chiari syndrome","I82.0","","ICD10"
"I822","Embolism and thrombosis of vena cava","I82.2","","ICD10"
"I823","Embolism and thrombosis of renal vein","I82.3","","ICD10"
"I828","Embolism and thrombosis of other specified veins","I82.8","","ICD10"
"I829","Embolism and thrombosis of unspecified vein","I82.9","","ICD10"
