DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
5710,Efexor XL 150mg capsules (Pfizer Ltd) Venlafaxine hydrochloride Modified-release capsule 150mg Oral,04030400,null,null,null,CPRD_GOLD
75894,Efexor XL 75mg capsules (Lexon (UK) Ltd) Venlafaxine hydrochloride Modified-release capsule 75mg Oral,04030400,null,null,null,CPRD_GOLD
43968,Foraven XL 75mg capsules (Forum Products Ltd) Venlafaxine hydrochloride Modified-release capsule 75mg Oral,04030400,null,null,null,CPRD_GOLD
59923,Venlafaxine 37.5mg tablets (Bristol Laboratories Ltd) Venlafaxine hydrochloride 37.5mg Tablet Oral,04030400,null,null,null,CPRD_GOLD
60449,Venlafaxine 75mg tablets (A A H Pharmaceuticals Ltd) Venlafaxine hydrochloride 75mg Tablet Oral,04030400,null,null,null,CPRD_GOLD
49511,Venlablue XL 75mg capsules (Creo Pharma Ltd) Venlafaxine hydrochloride Modified-release capsule 75mg Oral,04030400,null,null,null,CPRD_GOLD
59563,Venlafaxine 75mg modified-release capsules (Kent Pharmaceuticals Ltd) Venlafaxine hydrochloride Modified-release capsule 75mg Oral,04030400,null,null,null,CPRD_GOLD
43334,Venlafaxine 150mg modified-release capsules (Sandoz Ltd) Venlafaxine hydrochloride Modified-release capsule 150mg Oral,04030400,null,null,null,CPRD_GOLD
48199,Ranfaxine XL 75mg capsules (Ranbaxy (UK) Ltd) Venlafaxine hydrochloride Modified-release capsule 75mg Oral,04030400,null,null,null,CPRD_GOLD
63859,Venlafaxine 75mg tablets (Waymade Healthcare Plc) Venlafaxine hydrochloride 75mg Tablet Oral,04030400,null,null,null,CPRD_GOLD
71782,Venlafaxine 150mg modified-release capsules (Mawdsley-Brooks & Company Ltd) Venlafaxine hydrochloride Modified-release capsule 150mg Oral,04030400,null,null,null,CPRD_GOLD
42600,Vexarin XL 75mg capsules (Mylan) Venlafaxine hydrochloride Modified-release capsule 75mg Oral,04030400,null,null,null,CPRD_GOLD
67271,Efexor 37.5mg tablets (Waymade Healthcare Plc) Venlafaxine hydrochloride Tablet 37.5mg Oral,04030400,null,null,null,CPRD_GOLD
40764,ViePax 37.5mg tablets (Dexcel-Pharma Ltd) Venlafaxine hydrochloride Tablet 37.5mg Oral,04030400,null,null,null,CPRD_GOLD
60549,Venlafaxine 150mg modified-release capsules (Kent Pharmaceuticals Ltd) Venlafaxine hydrochloride 150mg Modified-release capsule Oral,04030400,null,null,null,CPRD_GOLD
68050,Venlafaxine 37.5mg tablets (Alliance Healthcare (Distribution) Ltd) Venlafaxine hydrochloride 37.5mg Tablet Oral,04030400,null,null,null,CPRD_GOLD
39359,Venlafaxine 75mg modified-release tablets Venlafaxine hydrochloride Modified-release tablet 75mg Oral,04030400,null,null,null,CPRD_GOLD
39360,Venlafaxine 150mg modified-release tablets Venlafaxine hydrochloride Modified-release tablet 150mg Oral,04030400,null,null,null,CPRD_GOLD
39770,Tifaxin XL 75mg capsules (Genus Pharmaceuticals Ltd) Venlafaxine hydrochloride Modified-release capsule 75mg Oral,04030400,null,null,null,CPRD_GOLD
39809,Tifaxin XL 150mg capsules (Genus Pharmaceuticals Ltd) Venlafaxine hydrochloride Modified-release capsule 150mg Oral,04030400,null,null,null,CPRD_GOLD
40048,ViePax XL 75mg tablets (Dexcel-Pharma Ltd) Venlafaxine hydrochloride Modified-release tablet 75mg Oral,04030400,null,null,null,CPRD_GOLD
40049,ViePax XL 150mg tablets (Dexcel-Pharma Ltd) Venlafaxine hydrochloride Modified-release tablet 150mg Oral,04030400,null,null,null,CPRD_GOLD
40054,Venlafaxine 225mg modified-release tablets Venlafaxine hydrochloride Modified-release tablet 225mg Oral,04030400,null,null,null,CPRD_GOLD
40059,Venlalic XL 75mg tablets (Ethypharm UK Ltd) Venlafaxine hydrochloride Modified-release tablet 75mg Oral,04030400,null,null,null,CPRD_GOLD
40062,Venlalic XL 150mg tablets (Ethypharm UK Ltd) Venlafaxine hydrochloride Modified-release tablet 150mg Oral,04030400,null,null,null,CPRD_GOLD
40092,Vensir XL 150mg capsules (Morningside Healthcare Ltd) Venlafaxine hydrochloride Modified-release capsule 150mg Oral,04030400,null,null,null,CPRD_GOLD
40277,Vensir XL 75mg capsules (Morningside Healthcare Ltd) Venlafaxine hydrochloride Modified-release capsule 75mg Oral,04030400,null,null,null,CPRD_GOLD
65738,Efexor 37.5mg tablets (Sigma Pharmaceuticals Plc) Venlafaxine hydrochloride 37.5mg Tablet Oral,04030400,null,null,null,CPRD_GOLD
40407,Venlalic XL 225mg tablets (Ethypharm UK Ltd) Venlafaxine hydrochloride Modified-release tablet 225mg Oral,04030400,null,null,null,CPRD_GOLD
40514,Venaxx XL 150mg capsules (AMCo) Venlafaxine hydrochloride Modified-release capsule 150mg Oral,04030400,null,null,null,CPRD_GOLD
40515,Venaxx XL 75mg capsules (AMCo) Venlafaxine hydrochloride Modified-release capsule 75mg Oral,04030400,null,null,null,CPRD_GOLD
70353,Venlafaxine 37.5mg tablets (DE Pharmaceuticals) Venlafaxine hydrochloride 37.5mg Tablet Oral,04030400,null,null,null,CPRD_GOLD
