MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
264761000006113,Omphalocoele with gangrene,J320000,196856007,CPRD_AURUM
12626141000006111,Fetal gastroschisis,,1110741000000105,CPRD_AURUM
2523201000006119,Irreducible omphalocele,,1542009,CPRD_AURUM
2523191000006117,Incarcerated omphalocele,,1542009,CPRD_AURUM
2991351000006113,Closure of omphalocele,,30502000,CPRD_AURUM
3829871000006117,Exomphalos-macroglossia-gigantism syndrome,,81780002,CPRD_AURUM
2523211000006116,Strangulated omphalocele,,1542009,CPRD_AURUM
4785031000006115,Omphalocele with gangrene,,196856007,CPRD_AURUM
77631000006116,Unspecified omphalocoele,J32y000,18735004,CPRD_AURUM
31597011,Omphalocele,J32..11,18735004,CPRD_AURUM
2991341000006111,Omphalocele repair,,30502000,CPRD_AURUM
3680013,Omphalocele with obstruction,J321000,1542009,CPRD_AURUM
275420019,Other repair of anterior abdominal wall NOS,7H19z00,238212008,CPRD_AURUM
4785081000006119,Omphalocele - irreducible,,196864001,CPRD_AURUM
436851000006117,Abdominal wall anomalies,PG7..00,81336004,CPRD_AURUM
315166019,Abdominal wall anomaly NOS,PG7z.00,81336004,CPRD_AURUM
142071000006119,Simple omphalocoele,J323000,196868003,CPRD_AURUM
275394017,Other repair of anterior abdominal wall,7H19.00,1052291000000109,CPRD_AURUM
2797421000006113,Congenital omphalocele,,18735004,CPRD_AURUM
3698401000006117,Repair of gastroschisis,,73713008,CPRD_AURUM
1785563011,Exomphalos,PG70.00,396347007,CPRD_AURUM
484602015,Closure of exomphalos,7H19511,30502000,CPRD_AURUM
873041000006114,Omphalocele repair,7H18.98,30502000,CPRD_AURUM
315778011,[X]Other congenital malformations of abdominal wall,Pyu8L00,81336004,CPRD_AURUM
264751000006111,Omphalocoele - irreducible,J322000,196864001,CPRD_AURUM
121175012,Gastroschisis,PG71.00,72951007,CPRD_AURUM
315165015,Other specified anomaly of abdominal wall,PG7y.00,81336004,CPRD_AURUM
2991321000006116,Repair of omphalocele,,30502000,CPRD_AURUM
4785121000006117,Simple omphalocele,,196868003,CPRD_AURUM
