MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
354341016,Nephrotic syndrome with pseudohermaphroditism,K01w111,236385009,CPRD_AURUM
400865010,Indeterminate sex and pseudohermaphroditism,PC7..00,268229003,CPRD_AURUM
198371000006112,Pseudohermaphrodite,female with adrenocortical disorder,C152A12,237750004,CPRD_AURUM
5560601000006119,Congenital absence of testis,,274151005,CPRD_AURUM
2772031000006111,Congenital aplasia of uterus,,17142008,CPRD_AURUM
2801231000006119,True hermaphroditism,,18978002,CPRD_AURUM
5093451000006111,Wilms' tumor and nephrotic syndrome with pseudohermaphroditism,,236385009,CPRD_AURUM
3006151000006117,Uterus bicornis,,31401003,CPRD_AURUM
5092021000006119,Flip-flap hypospadias repair,,236280001,CPRD_AURUM
4671871000006113,Chinese hypospadias repair,,176337003,CPRD_AURUM
6347821000006115,Congenital absent testes,,371015003,CPRD_AURUM
5112011000006119,Pseudohermaphrodite, female with adrenocortical disorder,,237750004,CPRD_AURUM
5335011000006113,Congenital anomaly of clitoris,,253842008,CPRD_AURUM
3135721000006118,Congenital atresia of vas deferens,,39513007,CPRD_AURUM
1229534016,Atresia of vas deferens,PCy3100,39513007,CPRD_AURUM
314205015,Indeterminate sex or pseudohermaphroditism NOS,PC7z.00,268229003,CPRD_AURUM
12484231000006112,Congenital absence of testis, unilateral,,87310001,CPRD_AURUM
12731311000006112,Other hypospadias repair,,662081000000104,CPRD_AURUM
12191901000006114,Embryonic cyst of fimbria of fallopian tube,,64233004,CPRD_AURUM
6347801000006113,Bilateral congenital aplasia of testicles,,371015003,CPRD_AURUM
3293051000006118,Male pseudohermaphroditism due to testicular 17,20-desmolase deficiency,,49013001,CPRD_AURUM
760151000006111,First stage hypospadias repair,7B41017,274040007,CPRD_AURUM
580571000006113,Congenital aplasia of testicle,PCy1200,274151005,CPRD_AURUM
3394018,Uterus unicornis,PC34.00,1372004,CPRD_AURUM
510571000006111,Bicornuate uterus in pregnancy, childbirth and puerperium,L240.11,237225003,CPRD_AURUM
220321000000110,Plastic operations on penis,7C22.00,271413004,CPRD_AURUM
893191000006110,Hypospadias/epispadias,PC6..99,204886001,CPRD_AURUM
478067010,Aplasia of uterus,PC32.00,17142008,CPRD_AURUM
315735018,[X]Other congenital malformations of ovary,Pyu6000,38296007,CPRD_AURUM
434851000006112,46XX true hermaphrodite,PJyy100,205719003,CPRD_AURUM
400868012,Pseudohermaphrodite NOS,PC7z100,268229003,CPRD_AURUM
7516411000006115,Male subcoronal hypospadias,,699051006,CPRD_AURUM
377920012,Embryonic cyst of cervix,PC41300,253833001,CPRD_AURUM
100164014,Congenital absence of clitoris,PC4y200,60291005,CPRD_AURUM
3474071000006115,Congenital absence of penis,,59981001,CPRD_AURUM
404581000006110,[X]Oth cong malform vas def/epidid/semin vesicles/prostate,Pyu6900,204821009,CPRD_AURUM
5334871000006110,Congenital malformation of uterus and cervix,,253827005,CPRD_AURUM
314187015,Hypospadias and epispadias,PC6..00,204886001,CPRD_AURUM
106918013,Congenital chordee,PC62.00,64320007,CPRD_AURUM
88674011,Repair of urethra,7B41.00,53328006,CPRD_AURUM
315744017,[X]Other specified hypospadias,Pyu6700,416010008,CPRD_AURUM
273041017,Repair of urethra NOS,7B41z00,302364006,CPRD_AURUM
314224017,Hypoplasia of scrotum,PCy2200,204912007,CPRD_AURUM
273327019,Other specified plastic operation on penis,7C22y00,271413004,CPRD_AURUM
355538018,Bicornuate uterus in pregnancy, childbirth or puerperium NOS,L240z11,267212003,CPRD_AURUM
