MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
2912,Hypospadias,PC60.00,null,CPRD_GOLD
3313,Bicornuate uterus,PC33.00,null,CPRD_GOLD
5745,Embryonic cyst of fallopian tube and broad ligament,PC11.00,null,CPRD_GOLD
31397,Doubling of vagina,PCyB.00,null,CPRD_GOLD
7461,[X]Other specified congenit malform of male genital organs,Pyu6B00,null,CPRD_GOLD
34210,Bicornuate uterus affecting obstetric care,L240011,null,CPRD_GOLD
36724,Aplasia of uterus,PC32.00,null,CPRD_GOLD
45451,Bicornuate uterus - baby delivered + postpartum complication,L240211,null,CPRD_GOLD
48850,[X]Other congenital malformations of testis and scrotum,Pyu6800,null,CPRD_GOLD
49246,46XX true hermaphrodite,PJyy100,null,CPRD_GOLD
49245,Congenital absence of penis,PCy0000,null,CPRD_GOLD
49789,Double uterus in pregnancy, childbirth and the puerperium,L240.12,null,CPRD_GOLD
51726,Hypoplasia of scrotum,PCy2200,null,CPRD_GOLD
57744,Hypospadias, female,PDyz100,null,CPRD_GOLD
57747,Congenital absence of clitoris,PC4y200,null,CPRD_GOLD
64385,[X]Other congenital malformations of vagina,Pyu6400,null,CPRD_GOLD
70840,Bicornuate uterus complicating a/n care, baby not delivered,L240311,null,CPRD_GOLD
91599,[X]Other congenital malformations of uterus and cervix,Pyu6300,null,CPRD_GOLD
93135,Pseudohermaphrodite, male with adrenocortical disorder,C152814,null,CPRD_GOLD
97489,Embryonic cyst of cervix,PC41300,null,CPRD_GOLD
97883,False hermaphrodite,PC7z111,null,CPRD_GOLD
112548,Nephrotic syndrome with pseudohermaphroditism,K01w111,null,CPRD_GOLD
113523,Chimera 46XX/46XY, true hermaphrodite,PJyy011,null,CPRD_GOLD
1210,Doubling of uterus,PC2..00,null,CPRD_GOLD
3441,Other hypospadias repair,7B41000,null,CPRD_GOLD
4339,Congenital aplasia of testicle,PCy1200,null,CPRD_GOLD
6633,Congenital chordee,PC62.00,null,CPRD_GOLD
8653,Hypospadias, penile,PC60000,null,CPRD_GOLD
9690,Hypoplasia of testis,PCy2100,null,CPRD_GOLD
11036,MAGPI hypospadias repair,7B41700,null,CPRD_GOLD
11142,Denis - Browne hypospadias repair,7B41013,null,CPRD_GOLD
18410,Plastic operations on penis,7C22.00,null,CPRD_GOLD
18716,Hypospadias, glandular,PC60312,null,CPRD_GOLD
20410,Repair of urethra,7B41.00,null,CPRD_GOLD
22190,Uterus unicornis,PC34.00,null,CPRD_GOLD
22511,Hypospadias, glanular,PC60311,null,CPRD_GOLD
24238,First stage hypospadias repair,7B41017,null,CPRD_GOLD
27316,Doubling of uterus, unspecified,PC20.00,null,CPRD_GOLD
27395,Indeterminate sex and pseudohermaphroditism,PC7..00,null,CPRD_GOLD
