MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
4831701000006116,Isolated levocardia,,205769006,CPRD_AURUM
271320014,Open operations for combined abnormality of great vessels,7A00.00,175205008,CPRD_AURUM
313426011,Cor triloculare,P6yy800,204397009,CPRD_AURUM
313475012,Aplasia of aorta,P722100,204433005,CPRD_AURUM
313355016,Congenital fusion of pulmonary valve segment,P602100,204346001,CPRD_AURUM
313428012,Hemicardia,P6yyA00,204399007,CPRD_AURUM
377724010,Preductal hypoplasia of aorta,P711.11,253674003,CPRD_AURUM
377728013,Postductal interruption of aorta,P712.12,253677005,CPRD_AURUM
505081012,Duroziez's disease,P65..11,82458004,CPRD_AURUM
511821000000113,Transluminal repair of defect of septum,790L.11,224071000000102,CPRD_AURUM
511461000000119,Revision of repair of defect of interatrial septum,7907411,174848002,CPRD_AURUM
865001000006118,Make heart septal defect,790A199,304926002,CPRD_AURUM
1626161000006110,Fetus with cardiovascular abnormality,,1626161000006106,CPRD_AURUM
1664161000006111,Congenital dextroposition of the heart,,1664161000006107,CPRD_AURUM
29950011,Persistent ostium primum,P561.11,17718000,CPRD_AURUM
270877012,Creation of valved cardiac conduit NOS,790Dz00,174880000,CPRD_AURUM
271359017,Other connection from aorta to pulmonary artery NOS,7A04z00,233224003,CPRD_AURUM
271381010,Other connection to pulmonary artery NOS,7A07z00,26495009,CPRD_AURUM
271341015,Transluminal operation on abnormality of great vessel NOS,7A02z00,175217005,CPRD_AURUM
313443014,Anomalous bands of heart NOS,P6z1z00,204407002,CPRD_AURUM
1222309016,Tricuspid stenosis and incompetence, cause unspecified,G140511,49915006,CPRD_AURUM
33551000006115,Other connection from subclavian art to pulmonary art OS,7A06y00,233226001,CPRD_AURUM
180961000006115,Removal anastomosis between vena cava and pulmonary artery,7A07100,175250005,CPRD_AURUM
182131000006113,Removal of obstruction from struct adjacent heart valve OS,791Ay00,174994000,CPRD_AURUM
229861000006114,Persistent truncus arteriosus,P500.11,61959006,CPRD_AURUM
355461000000111,Excision of valve of heart NOS,791Dz00,87123001,CPRD_AURUM
356101000000113,Open operations on both pulmonary arteries NOS,7A0Bz00,425603008,CPRD_AURUM
377061000000111,Repair of double outlet ventricle NOS,790Kz00,427318004,CPRD_AURUM
511481000000111,Repair of defect of interatrial septum NOS,7907z11,233037005,CPRD_AURUM
