MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
246,Ventricular septal defect,P54..00,null,CPRD_GOLD
247,Congenital heart anomaly NOS,P6z..00,null,CPRD_GOLD
999,Aortic stenosis, non-rheumatic,G541100,null,CPRD_GOLD
1267,Mitral valve diseases,G11..00,null,CPRD_GOLD
1756,Replacement of aortic valve,7911.12,null,CPRD_GOLD
1885,Mitral stenosis,G110.00,null,CPRD_GOLD
2343,Aortic stenosis alone, cause unspecified,G541300,null,CPRD_GOLD
2669,Pulmonary stenosis, cause unspecified,G543300,null,CPRD_GOLD
2728,Open correction of patent ductus arteriosus NOS,7A01z00,null,CPRD_GOLD
2977,Mitral valve incompetence,G540.00,null,CPRD_GOLD
3255,Atrial septal defect NOS,P550.00,null,CPRD_GOLD
3911,Replacement of mitral valve,7910.12,null,CPRD_GOLD
4864,Tetralogy of Fallot,P52..00,null,CPRD_GOLD
7262,Blue baby,P6z3.11,null,CPRD_GOLD
11878,Mitral and aortic regurgitation,G133.12,null,CPRD_GOLD
15133,Replacement of aortic valve NEC,7911300,null,CPRD_GOLD
15910,Plastic repair of unspecified valve of heart NOS,7914z00,null,CPRD_GOLD
19956,Correction of tetralogy of Fallot NOS,7902z00,null,CPRD_GOLD
23709,Ebstein's anomaly,P62..00,null,CPRD_GOLD
32748,Uhl's disease,P6y3000,null,CPRD_GOLD
10916,Hanlon creation of defect in atrial septum,790B012,null,CPRD_GOLD
19969,Common ventricle,P53..00,null,CPRD_GOLD
23692,Ventricular septal defect in Fallot's tetralogy,P520.11,null,CPRD_GOLD
28705,Congenital coronary arterio-venous fistula,P6y4411,null,CPRD_GOLD
34262,Transluminal operation on pulmonary artery NOS,7A0Az00,null,CPRD_GOLD
38328,Transluminal operations on pulmonary artery,7A0A.00,null,CPRD_GOLD
38403,Other specified repair of valve of vein,7A65y00,null,CPRD_GOLD
38828,Other specified closure of defect unspecified heart septum,7909y00,null,CPRD_GOLD
44478,Other pulmonary valve anomalies,P60z.00,null,CPRD_GOLD
45283,Remove obstruction from structure adjacent to valve of heart,791A.00,null,CPRD_GOLD
45452,Congenital fusion of pulmonary valve segment,P602100,null,CPRD_GOLD
49279,Postductal aortic stenosis,P712.13,null,CPRD_GOLD
49702,Endocardial cushion defects NOS,P56z.00,null,CPRD_GOLD
49901,Congenital coronary aneurysm,P6y4500,null,CPRD_GOLD
52287,Closure defect of interatrial septum using tissue graft NEC,7907200,null,CPRD_GOLD
52271,Nonrheumatic tricuspid valve stenosis with insufficiency,G542200,null,CPRD_GOLD
56170,Creation interpos tube prosth shunt asc aorta to left pulm a,7A03200,null,CPRD_GOLD
58189,Congenital stenosis of ascending aorta,P722411,null,CPRD_GOLD
58734,Congenital aortic valve insufficiency, unspecified,P640.00,null,CPRD_GOLD
58886,Atrial inversion op for transposition of great vessels NOS,7903z00,null,CPRD_GOLD
59012,Closure defect of heart septum using pericardial patch NEC,7909100,null,CPRD_GOLD
59144,Lutembacher's syndrome,P553.00,null,CPRD_GOLD
59298,Aplasia of aorta,P722100,null,CPRD_GOLD
61715,Cor triloculare biventriculare,P56z011,null,CPRD_GOLD
61914,Persistent truncus arteriosus,P500.11,null,CPRD_GOLD
62258,Repair of pulmonary artery NOS,7A08z00,null,CPRD_GOLD
62845,Open operation for combined abnormality of great vessels OS,7A00y00,null,CPRD_GOLD
63499,Other specified revision of plastic repair of valve of heart,7915y00,null,CPRD_GOLD
63677,Anomalous termination of right pulmonary vein,P742.11,null,CPRD_GOLD
63768,Stricture of aorta,P722300,null,CPRD_GOLD
64470,Other correction of transposition of great vessels OS,7904y00,null,CPRD_GOLD
64953,Postductal interruption of aorta,P712.12,null,CPRD_GOLD
65097,Transluminal operation on abnormality of great vessel OS,7A02y00,null,CPRD_GOLD
65318,Double outlet right ventricle NOS,P511z00,null,CPRD_GOLD
65401,Other specified correction of tetralogy of Fallot,7902y00,null,CPRD_GOLD
67286,Anomalous origin of the aortic arch,P721000,null,CPRD_GOLD
67570,Other operations on structure adjacent to valve of heart,791B.00,null,CPRD_GOLD
67783,Creation of other cardiac conduit NOS,790Ez00,null,CPRD_GOLD
67928,Pulmonary artery agenesis,P731.00,null,CPRD_GOLD
