"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"K04","Repair of tetralogy of Fallot","K04",,"","HES-OPCSv4.9"
"K041","Repair of tetralogy of Fallot using valved right ventricular outflow conduit","K04.1",,"","HES-OPCSv4.9"
"K042","Repair of tetralogy of Fallot using right ventricular outflow conduit NEC","K04.2",,"","HES-OPCSv4.9"
"K043","Repair of tetralogy of Fallot using transannular patch","K04.3",,"","HES-OPCSv4.9"
"K044","Revision of repair of tetralogy of Fallot","K04.4",,"","HES-OPCSv4.9"
"K045","Repair of tetralogy of Fallot with absent pulmonary valve","K04.5",,"","HES-OPCSv4.9"
"K046","Repair of Fallot-type pulmonary atresia with aortopulmonary collaterals","K04.6",,"","HES-OPCSv4.9"
"K048","Other specified repair of tetralogy of Fallot","K04.8",,"","HES-OPCSv4.9"
"K049","Unspecified repair of tetralogy of Fallot","K04.9",,"","HES-OPCSv4.9"
"K05","Atrial inversion operations for transposition of great arteries","K05",,"","HES-OPCSv4.9"
"K051","Reconstruction of atrium using atrial patch for transposition of great arteries","K05.1",,"","HES-OPCSv4.9"
"K052","Reconstruction of atrium using atrial wall for transposition of great arteries","K05.2",,"","HES-OPCSv4.9"
"K058","Other specified atrial inversion operations for transposition of great arteries","K05.8",,"","HES-OPCSv4.9"
"K059","Unspecified atrial inversion operations for transposition of great arteries","K05.9",,"","HES-OPCSv4.9"
"K06","Other repair of transposition of great arteries","K06",,"","HES-OPCSv4.9"
"K062","Left ventricle to aorta tunnel with right ventricle to pulmonary trunk direct anastomosis","K06.2",,"","HES-OPCSv4.9"
"K063","Left ventricle to aorta tunnel with right ventricle to pulmonary artery valved conduit","K06.3",,"","HES-OPCSv4.9"
"K064","Atrial inversion and repositioning of transposed great artery","K06.4",,"","HES-OPCSv4.9"
"K068","Other specified other repair of transposition of great arteries","K06.8",,"","HES-OPCSv4.9"
"K069","Unspecified other repair of transposition of great arteries","K06.9",,"","HES-OPCSv4.9"
"K07","Correction of total anomalous pulmonary venous connection","K07",,"","HES-OPCSv4.9"
"K071","Correction of total anomalous pulmonary venous connection to supracardiac vessel","K07.1",,"","HES-OPCSv4.9"
"K072","Correction of total anomalous pulmonary venous connection to coronary sinus","K07.2",,"","HES-OPCSv4.9"
"K073","Correction of total anomalous pulmonary venous connection to infradiaphragmatic vessel","K07.3",,"","HES-OPCSv4.9"
"K078","Other specified correction of total anomalous pulmonary venous connection","K07.8",,"","HES-OPCSv4.9"
"K079","Unspecified correction of total anomalous pulmonary venous connection","K07.9",,"","HES-OPCSv4.9"
"K08","Repair of double outlet ventricle","K08",,"","HES-OPCSv4.9"
"K081","Repair of double outlet right ventricle with intraventricular tunnel","K08.1",,"","HES-OPCSv4.9"
"K082","Repair of Fallot-type double outlet right ventricle","K08.2",,"","HES-OPCSv4.9"
"K083","Repair of double outlet right ventricle","K08.3",,"","HES-OPCSv4.9"
"K084","Repair of double outlet left ventricle","K08.4",,"","HES-OPCSv4.9"
"K088","Other specified repair of double outlet ventricle","K08.8",,"","HES-OPCSv4.9"
"K089","Unspecified repair of double outlet ventricle","K08.9",,"","HES-OPCSv4.9"
"K09","Repair of defect of atrioventricular septum","K09",,"","HES-OPCSv4.9"
"K091","Repair of defect of atrioventricular septum using dual prosthetic patches","K09.1",,"","HES-OPCSv4.9"
"K092","Repair of defect of atrioventricular septum using prosthetic patch NEC","K09.2",,"","HES-OPCSv4.9"
"K093","Repair of defect of atrioventricular septum using tissue graft","K09.3",,"","HES-OPCSv4.9"
"K094","Repair of persistent ostium primum","K09.4",,"","HES-OPCSv4.9"
"K095","Primary repair of defect of atrioventricular septum NEC","K09.5",,"","HES-OPCSv4.9"
"K096","Revision of repair of defect of atrioventricular septum","K09.6",,"","HES-OPCSv4.9"
"K098","Other specified repair of defect of atrioventricular septum","K09.8",,"","HES-OPCSv4.9"
"K099","Unspecified repair of defect of atrioventricular septum","K09.9",,"","HES-OPCSv4.9"
"K10","Repair of defect of interatrial septum","K10",,"","HES-OPCSv4.9"
"K101","Repair of defect of interatrial septum using prosthetic patch","K10.1",,"","HES-OPCSv4.9"
"K102","Repair of defect of interatrial septum using pericardial patch","K10.2",,"","HES-OPCSv4.9"
"K103","Repair of defect of interatrial septum using tissue graft NEC","K10.3",,"","HES-OPCSv4.9"
"K104","Primary repair of defect of interatrial septum NEC","K10.4",,"","HES-OPCSv4.9"
"K105","Revision of repair of defect of interatrial septum","K10.5",,"","HES-OPCSv4.9"
"K108","Other specified repair of defect of interatrial septum","K10.8",,"","HES-OPCSv4.9"
"K109","Unspecified repair of defect of interatrial septum","K10.9",,"","HES-OPCSv4.9"
"K11","Repair of defect of interventricular septum","K11",,"","HES-OPCSv4.9"
"K111","Repair of defect of interventricular septum using prosthetic patch","K11.1",,"","HES-OPCSv4.9"
"K112","Repair of defect of interventricular septum using pericardial patch","K11.2",,"","HES-OPCSv4.9"
"K113","Repair of defect of interventricular septum using tissue graft NEC","K11.3",,"","HES-OPCSv4.9"
"K114","Primary repair of defect of interventricular septum NEC","K11.4",,"","HES-OPCSv4.9"
"K115","Revision of repair of defect of interventricular septum","K11.5",,"","HES-OPCSv4.9"
"K116","Repair of multiple interventricular septal defects","K11.6",,"","HES-OPCSv4.9"
"K117","Repair of interventricular septal defect using intraoperative transluminal prosthesis","K11.7",,"","HES-OPCSv4.9"
"K118","Other specified repair of defect of interventricular septum","K11.8",,"","HES-OPCSv4.9"
"K119","Unspecified repair of defect of interventricular septum","K11.9",,"","HES-OPCSv4.9"
"K12","Repair of defect of unspecified septum of heart","K12",,"","HES-OPCSv4.9"
"K121","Repair of defect of septum of heart using prosthetic patch NEC","K12.1",,"","HES-OPCSv4.9"
"K122","Repair of defect of septum of heart using pericardial patch NEC","K12.2",,"","HES-OPCSv4.9"
"K123","Repair of defect of septum of heart using tissue graft NEC","K12.3",,"","HES-OPCSv4.9"
"K124","Primary repair of defect of septum of heart NEC","K12.4",,"","HES-OPCSv4.9"
"K125","Revision of repair of septum of heart NEC","K12.5",,"","HES-OPCSv4.9"
"K128","Other specified repair of defect of unspecified septum of heart","K12.8",,"","HES-OPCSv4.9"
"K129","Unspecified repair of defect of unspecified septum of heart","K12.9",,"","HES-OPCSv4.9"
"K13","Transluminal repair of defect of septum","K13",,"","HES-OPCSv4.9"
"K131","Percutaneous transluminal repair of defect of interventricular septum using prosthesis","K13.1",,"","HES-OPCSv4.9"
"K132","Percutaneous transluminal repair of defect of interventricular septum NEC","K13.2",,"","HES-OPCSv4.9"
"K133","Percutaneous transluminal repair of defect of interatrial septum using prosthesis","K13.3",,"","HES-OPCSv4.9"
"K134","Percutaneous transluminal repair of defect of interatrial septum NEC","K13.4",,"","HES-OPCSv4.9"
"K135","Percutaneous transluminal repair of defect of unspecified septum using prosthesis","K13.5",,"","HES-OPCSv4.9"
"K138","Other specified transluminal repair of defect of septum","K13.8",,"","HES-OPCSv4.9"
"K139","Unspecified transluminal repair of defect of septum","K13.9",,"","HES-OPCSv4.9"
"K14","Other open operations on septum of heart","K14",,"","HES-OPCSv4.9"
"K141","Open enlargement of defect of atrial septum","K14.1",,"","HES-OPCSv4.9"
"K142","Open atrial septostomy","K14.2",,"","HES-OPCSv4.9"
"K143","Atrial septectomy","K14.3",,"","HES-OPCSv4.9"
"K144","Surgical atrial septation","K14.4",,"","HES-OPCSv4.9"
"K145","Open enlargement of defect of interventricular septum","K14.5",,"","HES-OPCSv4.9"
"K148","Other specified other open operations on septum of heart","K14.8",,"","HES-OPCSv4.9"
"K149","Unspecified other open operations on septum of heart","K14.9",,"","HES-OPCSv4.9"
"K15","Closed operations on septum of heart","K15",,"","HES-OPCSv4.9"
"K151","Closed enlargement of defect of atrial septum","K15.1",,"","HES-OPCSv4.9"
"K152","Closed atrial septostomy","K15.2",,"","HES-OPCSv4.9"
"K158","Other specified closed operations on septum of heart","K15.8",,"","HES-OPCSv4.9"
"K159","Unspecified closed operations on septum of heart","K15.9",,"","HES-OPCSv4.9"
"K16","Other therapeutic transluminal operations on septum of heart","K16",,"","HES-OPCSv4.9"
