MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
797351000006110,Fused fingers,PF12.11,2560006,CPRD_AURUM
4829871000006115,Cleft foot,,205358006,CPRD_AURUM
489411000006116,Apodia,PF31111,371197005,CPRD_AURUM
86593010,Agenesis of ulna,PF27.00,52022007,CPRD_AURUM
96439013,Distal phocomelia of lower limb,PF35.11,58010002,CPRD_AURUM
132709018,Rudimentary patella,PF64300,79991006,CPRD_AURUM
152270014,Agenesis of talus,PF38000,91913001,CPRD_AURUM
278563017,Repositioning of thumb for cleft hand,7L0F700,180089004,CPRD_AURUM
314712011,Congenital tibial deficiency type III,PF36200,205215005,CPRD_AURUM
314881017,Brachyphalangia of little toe,PF66600,205349004,CPRD_AURUM
314692019,Transverse deficiency lower limb - hip level,PF31300,205203006,CPRD_AURUM
314714012,Congenital fibular deficiency type II,PF37100,205217002,CPRD_AURUM
314653014,Partial defect of ulna,PF27000,205180002,CPRD_AURUM
1230437012,Congenital absence of thigh only,PF34.00,47276000,CPRD_AURUM
1235709018,Agenesis of calcaneum,PF38100,91872004,CPRD_AURUM
3891241000006117,TAR syndrome,,85589009,CPRD_AURUM
278553013,Correction of congenital deformity of forearm NOS,7L0Ez00,180070004,CPRD_AURUM
314799018,Other failure of differentiation skeletal tissues of arm NOS,PF5Az00,66510004,CPRD_AURUM
314717017,Agenesis of other tarsal bone,PF38200,91914007,CPRD_AURUM
314938016,Other congenital anomalies of pelvis NOS,PF6xz00,78626001,CPRD_AURUM
314861018,Other upper limb and shoulder anomaly NOS,PF5yz00,66510004,CPRD_AURUM
314873018,Macrodactyly of toes - fatty nerve tumor,PF65100,205343003,CPRD_AURUM
315776010,[X]Other specified osteochondrodysplasias,Pyu8J00,240190009,CPRD_AURUM
91621000006118,Transverse deficiency of arm, upper arm level-long,PF21800,205164007,CPRD_AURUM
6594921000006111,Congenital clubfoot,,397932003,CPRD_AURUM
125471000006117,Starr correction of congenital absence of radius,7L0E512,265743005,CPRD_AURUM
454761000006115,Acrocephalopolysyndactyly,PF55.12,205260006,CPRD_AURUM
578751000006119,Congen undergrowth of whole lower limb,PF6C600,66078008,CPRD_AURUM
579721000006115,Congenital absence of thigh and lower leg with foot present,PF33.00,55852007,CPRD_AURUM
588841000006118,Congenital undergrowth of proximal part of limb,PF6C000,67341007,CPRD_AURUM
590281000006112,Constriction ring with lymphoedema,PF5E100,268264007,CPRD_AURUM
807621000006110,Guerin - Stern syndrome,PE8y500,111246005,CPRD_AURUM
377088016,Mermaid sirenomelia,PKy7412,723973002,CPRD_AURUM
1231537018,Congenital absence of thigh and lower leg with foot present,PF6E.00,55852007,CPRD_AURUM
4829531000006116,Constriction ring of upper limb with acrosyndactyly and amputation,,205304002,CPRD_AURUM
7740941000006116,Gollop Wolfgang complex,,716006003,CPRD_AURUM
3529331000006111,Dewebbing of syndactyly of fingers,,63295000,CPRD_AURUM
5518401000006115,Congenital absence of thumb,,270963009,CPRD_AURUM
3516391015,Bilateral webbed toes of both feet,null,323751000119109,CPRD_AURUM
2618601000006113,Diplopodia,null,7458004,CPRD_AURUM
2804661000006112,Correction of syndactyly,null,19199006,CPRD_AURUM
3048341000006110,Syndactyly of the fingers,null,34048007,CPRD_AURUM
3190181000006115,Longitudinal deficiency of tibia,null,42808000,CPRD_AURUM
6350481000006119,Congenital absence of foot,,371197005,CPRD_AURUM
3953911000006111,Metaphyseal chondrodysplasia with pancreatic insufficiency AND neutropenia,,89454001,CPRD_AURUM
4830111000006111,Constriction ring of lower limb with lymphedema,,205385004,CPRD_AURUM
7849881000006112,Sirenomelia sequence,,723973002,CPRD_AURUM
2715821000006117,Lobster-claw hand,,13624003,CPRD_AURUM
3574581000006119,Congenital longitudinal deficiency lower limb,,66078008,CPRD_AURUM
12484421000006113,Congenital talipes equinovarus,,397932003,CPRD_AURUM
12451061000006115,Brachysyndactyly of the fingers,,41878001,CPRD_AURUM
5336411000006113,Syndactyly of the thumb,null,253972001,CPRD_AURUM
2544911000006112,Brachydactyly-spherophakia syndrome,,2884008,CPRD_AURUM
3118121000006116,Unilateral defect of pectoralis muscle AND syndactyly of hand,,38371006,CPRD_AURUM
3174841000006115,Symbrachydactyly,,41878001,CPRD_AURUM
3752201000006115,Classic arthrogryposis,,77016009,CPRD_AURUM
5504031000006114,Constriction ring of upper limb with lymphedema,,268264007,CPRD_AURUM
3993851000006113,Agenesis of tarsal bone,,91914007,CPRD_AURUM
12186971000006113,Talipes planus,,53226007,CPRD_AURUM
