MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
933,Congenital dislocation of hip,PE30.00,null,CPRD_GOLD
89722,Agenesis of other tarsal bone,PF38200,null,CPRD_GOLD
9239,Congenital dislocation and subluxation of the hip,PE3..00,null,CPRD_GOLD
12263,Calcaneonavicular bar,PF67100,null,CPRD_GOLD
22756,Chondrodysplasia,PG4..00,null,CPRD_GOLD
27365,Reduction deformity of unspecified limb,PF4..00,null,CPRD_GOLD
44150,Certain congenital musculoskeletal deformities,PE...00,null,CPRD_GOLD
46734,Other lower limb and pelvic girdle anomaly NOS,PF6yz00,null,CPRD_GOLD
15859,Congenital elevation of scapula,PF52.00,null,CPRD_GOLD
23669,Complex tarsal coalition,PF67A00,null,CPRD_GOLD
28542,Congenital deformity of clavicle,PF51.00,null,CPRD_GOLD
28775,Constriction ring syndrome of lower limb with amputation,PF6D300,null,CPRD_GOLD
35699,Congenital absence of toe,PF39.00,null,CPRD_GOLD
35834,Acheiria,PF21611,null,CPRD_GOLD
36494,Conjoined toes,PF14.12,null,CPRD_GOLD
41345,Macrodactylia (fingers),PF57.00,null,CPRD_GOLD
41471,Phocomelia of unspecified limb,PF44.00,null,CPRD_GOLD
42733,Perodactylia of great toe,PF66800,null,CPRD_GOLD
44219,Other upper limb and shoulder anomaly,PF5..00,null,CPRD_GOLD
45651,Congenital club hand,PE8y000,null,CPRD_GOLD
46124,Capitate-hamate synostosis,PF5A100,null,CPRD_GOLD
46652,Congenital overgrowth of lower limb,PF6B.00,null,CPRD_GOLD
47217,Correction of congenital absence of radius,7L0E500,null,CPRD_GOLD
47224,Guerin - Stern syndrome,PE8y500,null,CPRD_GOLD
50504,Other specified correction of congenital deformity of hip,7L0Gy00,null,CPRD_GOLD
52738,Other specified anomalies of unspecified limb,PFy..00,null,CPRD_GOLD
52819,[X]Other congen malform upper limb(s), incl shoulder girdle,Pyu8A00,null,CPRD_GOLD
53673,Congenital overgrowth of foot,PF6B200,null,CPRD_GOLD
54295,Congenital angulation of tibia,PF6y000,null,CPRD_GOLD
55114,Other congenital anomalies of pelvis NOS,PF6xz00,null,CPRD_GOLD
55593,Congenital spastic foot,F233.11,null,CPRD_GOLD
56203,Undergrowth of whole hand,PF5D100,null,CPRD_GOLD
57346,Transverse arrest of carpals and metacarpals,PF28.11,null,CPRD_GOLD
57873,Naviculocuneiform bar,PF67900,null,CPRD_GOLD
59150,Other congenital anomalies of lower leg,PF6v.00,null,CPRD_GOLD
59949,Accesory hallux,PF02000,null,CPRD_GOLD
