MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
66201000006115,Veau type III bilateral cleft lip repair,7502C12,265325008,CPRD_AURUM
136401000006118,Skoog correction of alar slump,7409113,172842002,CPRD_AURUM
177831000006110,Repair cleft hard palate post based axial transposition flap,7525211,265332004,CPRD_AURUM
3636584010,Cleft palate with right cleft lip,,762410008,CPRD_AURUM
12626171000006115,Suspected fetal cleft lip,,1110771000000104,CPRD_AURUM
5336541000006113,Unilateral incomplete cleft lip and/or alveolus,,253987006,CPRD_AURUM
3636582014,Cleft palate with left cleft lip,null,762409003,CPRD_AURUM
5336581000006119,Bilateral incomplete cleft lip and alveolus,null,253989009,CPRD_AURUM
4541461000006110,History of cleft lip,,161575002,CPRD_AURUM
4825781000006113,Complete bilateral cleft palate with cleft lip,,204614006,CPRD_AURUM
8462771000006119,Cleft of soft palate and bilateral cleft lip,null,1085341000119103,CPRD_AURUM
12016571000006112,Repair of right cleft lip,null,764451006,CPRD_AURUM
3953511000006118,Repair of unilateral cleft lip with quadrilateral flap,,89432003,CPRD_AURUM
3271061000006112,Incomplete bilateral cleft palate,,47686007,CPRD_AURUM
12451881000006117,Repair unilateral cleft lip with quadrilateral flap,,89432003,CPRD_AURUM
12722181000006111,Cleft palate or cleft lip NOS,,596771000000106,CPRD_AURUM
3521111000006116,Incomplete bilateral cleft lip,,62815003,CPRD_AURUM
5336521000006118,Unilateral cleft hard palate,,253985003,CPRD_AURUM
3805971000006116,CL - Cleft lip,,80281008,CPRD_AURUM
3929651000006119,CP - Cleft palate,,87979003,CPRD_AURUM
191751000006110,Randall repair unilateral cleft lip,7502711,234647001,CPRD_AURUM
12484031000006119,Cleft soft palate, central,,253997002,CPRD_AURUM
2829551000006119,Complete unilateral cleft palate,,20729004,CPRD_AURUM
5484991000006115,Repair bilateral cleft lip - rotation advancement flap technique,,265323001,CPRD_AURUM
5072091000006110,Correction of cleft palate,,234890003,CPRD_AURUM
3805941000006112,Congenital fissure of lip,,80281008,CPRD_AURUM
394069012,Primary repair of cleft palate, unspecified,7525000,450350009,CPRD_AURUM
371081000006119,[X]Cleft lip and cleft palate,Pyu4.00,66948001,CPRD_AURUM
394053017,Correction of deformity of lip,7502.00,265318001,CPRD_AURUM
268225013,Repair of bilateral cleft lip unspecified,7502D00,234650003,CPRD_AURUM
268449013,Repair of cleft soft palate with intra-velar veloplasty,7525700,173394004,CPRD_AURUM
496631016,Primary correction of cleft lip nasal deformity,7409000,53356001,CPRD_AURUM
313729015,Unilateral complete cleft palate with cleft lip,P921.00,66948001,CPRD_AURUM
315712016,[X]Unspecified cleft palate with cleft lip, bilateral,Pyu4100,66948001,CPRD_AURUM
313728011,Cleft palate with cleft lip, unspecified,P920.00,66948001,CPRD_AURUM
702331000006119,Millard repair unilateral cleft lip,7502611,234647001,CPRD_AURUM
1234474017,Bilateral complete cleft lip,P913.00,80446009,CPRD_AURUM
393565016,Unilateral columella lengthening operation,7409400,265022001,CPRD_AURUM
133218014,Congenital fissure of lip,P91..12,80281008,CPRD_AURUM
173081000006111,Repair unilat cleft lip - rotation advancement flp technique,7502600,234647001,CPRD_AURUM
268192011,Bilateral lip adhesion,7502400,173235003,CPRD_AURUM
114611000006116,Tajima unilateral columella lengthening operation,7409411,265022001,CPRD_AURUM
558591000006115,Cleft soft palate, bilateral,P904.11,254000002,CPRD_AURUM
7567271000006114,Cleft palate clinic,,702841007,CPRD_AURUM
698971000006112,Manchester bilateral cleft lip repair,7502C11,265325008,CPRD_AURUM
313734016,Central incomplete cleft palate with cleft lip,P926.00,204617004,CPRD_AURUM
558421000006116,Cleft hard palate, bilateral,P903.11,253994009,CPRD_AURUM
5072121000006114,Repair of anterior cleft palate,,234893001,CPRD_AURUM
862151000006110,Cleft palate repair,7525099,234890003,CPRD_AURUM
313722012,Cleft palate NOS,P90z.00,87979003,CPRD_AURUM
268210013,Repair of unilateral cleft lip unspecified,7502900,234649003,CPRD_AURUM
510811000006117,Bilateral complete cleft palate,P903.00,24194000,CPRD_AURUM
476774019,Secondary correction of cleft lip nasal deformity,7409100,360762005,CPRD_AURUM
221891000000114,Unilateral incomplete cleft palate,P902.00,87979003,CPRD_AURUM
268447010,Repair of anterior cleft palate with local flap,7525500,173392000,CPRD_AURUM
1223218010,Cleft hard palate with cleft soft palate, bilateral,P927.00,24194000,CPRD_AURUM
747721000006112,Lemesurier cleft lip repair,7502011,89432003,CPRD_AURUM
177711000006113,Rep bilat cleft lip Millard,7502A11,265323001,CPRD_AURUM
378121013,Cleft hard palate, bilateral,P90B.00,253994009,CPRD_AURUM
313733010,Central complete cleft palate with cleft lip,P925.00,204616008,CPRD_AURUM
378112012,Cleft hard palate, unilateral,P90C.00,253985003,CPRD_AURUM
268228010,Synchronous bilateral cleft lip repair,7502E00,173245001,CPRD_AURUM
