MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
2170,Cleft palate,P90..00,null,CPRD_GOLD
24846,Cleft uvula,P909.00,null,CPRD_GOLD
31584,Repair of cleft hard palate with bipedicled flaps,7525300,null,CPRD_GOLD
34024,Repair of anterior cleft palate with local flap,7525500,null,CPRD_GOLD
34175,Tajima unilateral columella lengthening operation,7409411,null,CPRD_GOLD
38873,Cleft hard palate, unilateral,P901.11,null,CPRD_GOLD
42208,Cleft soft palate, bilateral,P90A.00,null,CPRD_GOLD
48646,Other specified correction of deformity of palate,7525y00,null,CPRD_GOLD
49751,Repair of unilateral cleft lip with triangular flap,7502700,null,CPRD_GOLD
52827,Central cleft lip,P915.00,null,CPRD_GOLD
54974,Veau flap repair cleft palate,7525213,null,CPRD_GOLD
56520,Millard repair unilateral cleft lip,7502611,null,CPRD_GOLD
62690,Bilateral incomplete cleft palate with cleft lip,P924.00,null,CPRD_GOLD
64549,Cleft hard palate, bilateral,P90B.00,null,CPRD_GOLD
68166,Cleft soft palate, central,P906.11,null,CPRD_GOLD
69871,Lemesurier cleft lip repair,7502011,null,CPRD_GOLD
70876,Pigott alar leap-frog correction,7409013,null,CPRD_GOLD
73531,Unilateral complete cleft palate,P901.00,null,CPRD_GOLD
90923,Kilner repair of cleft palate,7525011,null,CPRD_GOLD
93972,Cleft hard palate with cleft soft palate, unilateral,P928.00,null,CPRD_GOLD
97477,Cleft soft palate, bilateral,P904.11,null,CPRD_GOLD
98506,Repair of bilateral cleft lip with quadrilateral flap,7502B00,null,CPRD_GOLD
101223,Cleft hard palate, unilateral,P90C.00,null,CPRD_GOLD
103535,Repair bilateral cleft lip - rotation advancement flap tech,7502A00,null,CPRD_GOLD
105114,Cheilopalatoschisis,P92..11,null,CPRD_GOLD
105377,Skoog correction of alar slump,7409113,null,CPRD_GOLD
106078,Bilateral incomplete cleft palate,P904.00,null,CPRD_GOLD
113211,Randall repair unilateral cleft lip,7502711,null,CPRD_GOLD
114094,Randall cleft lip repair,7502013,null,CPRD_GOLD
115221,Kilner repair unilateral cleft lip,7502511,null,CPRD_GOLD
96645,Tennyson repair unilateral cleft lip,7502713,null,CPRD_GOLD
100946,Repair unilateral cleft lip with quadrilateral flap,7502811,null,CPRD_GOLD
1679,Primary repair of cleft palate, unspecified,7525000,null,CPRD_GOLD
2020,Repair of cleft lip operations,7502.11,null,CPRD_GOLD
2027,Cleft lip (harelip),P91..00,null,CPRD_GOLD
5374,Cleft palate and lip,P9...00,null,CPRD_GOLD
5386,Cleft palate with cleft lip,P92..00,null,CPRD_GOLD
6341,Repair of cleft palate,7525.12,null,CPRD_GOLD
8002,Rhinoplasty for cleft lip nasal deformity,7409500,null,CPRD_GOLD
9809,Correction of cleft lip nasal deformity,7409.00,null,CPRD_GOLD
14974,Repair of bilateral cleft lip unspecified,7502D00,null,CPRD_GOLD
15294,Correction of deformity of lip NOS,7502z00,null,CPRD_GOLD
15364,Cleft palate NOS,P90z.00,null,CPRD_GOLD
16457,Cleft lip, unspecified,P910.00,null,CPRD_GOLD
16938,Cheiloschisis,P91..11,null,CPRD_GOLD
17207,H/O: cleft lip,14H3.00,null,CPRD_GOLD
