MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
377813018,Ectopic bone and cartilage in lung,P86y311,253746001,CPRD_AURUM
4014331000006116,Congenital enlarged lung,null,93071000,CPRD_AURUM
3060001000006116,Congenital absence of bronchus,,34774005,CPRD_AURUM
3262331000006116,Congenital lung malformation,,47147007,CPRD_AURUM
3916541000006118,Congenital cystic disease of lung,,87119009,CPRD_AURUM
5573921000006115,Absence of lung,,275507003,CPRD_AURUM
3916551000006116,Congenital polycystic disease of lung,,87119009,CPRD_AURUM
4825411000006112,Congenital atresia of anterior nares,,204511005,CPRD_AURUM
2839301000006114,Correction of congenital choanal stenosis,,21335006,CPRD_AURUM
3262341000006114,Congenital malformation of lung,,47147007,CPRD_AURUM
5503521000006119,Ectopic tissue in lung,,268195009,CPRD_AURUM
893011000006116,Pulmonary agenesis,P85..99,204572006,CPRD_AURUM
893061000006118,Oral/resp. congen. anomaly NOS,P9z..99,596771000000106,CPRD_AURUM
893021000006112,Congen. resp. anomalies NOS,P8z..99,600261000000104,CPRD_AURUM
861021000006114,Pharyngeal atresia correction,7422.99,69888009,CPRD_AURUM
313670011,Congenital absence of lung fissures,P853000,204575008,CPRD_AURUM
4825561000006111,Anomaly of laryngeal and/or tracheal cartilage,,204537008,CPRD_AURUM
4825431000006118,Congenital atresia of posterior nares,,204512003,CPRD_AURUM
5571321000006117,Congenital respiratory tract malformation,,275260000,CPRD_AURUM
5333881000006110,Congenital anomaly of trachea and bronchus,,253740007,CPRD_AURUM
193401000006117,Pulmonary arterio-venous malformation,P736.12,303070000,CPRD_AURUM
313585010,Choanal atresia, unspecified,P800.00,204508009,CPRD_AURUM
75278011,Congenital pulmonary lymphangiectasis,P8y4.00,45142002,CPRD_AURUM
313651018,Other anomaly of trachea,P83yx00,253740007,CPRD_AURUM
2839311000006112,Correction of congenital choanal atresia,,21335006,CPRD_AURUM
316905011,[X]Other and unspecified atelectasis of newborn,Qyu3700,54959009,CPRD_AURUM
1231958018,Atresia of nasopharynx,P8y2.00,59423009,CPRD_AURUM
585321000006113,Congenital stenosis of bronchus,P833200,204551008,CPRD_AURUM
414301000006114,[X]Other specified congen malformation respiratory system,Pyu3500,275260000,CPRD_AURUM
313588012,Atresia of the anterior nares,P801.00,204511005,CPRD_AURUM
5333871000006112,Congenital malformation of trachea and bronchus,,253740007,CPRD_AURUM
221881000000112,Ectopic tissues in lung,P86y300,268195009,CPRD_AURUM
313637018,Atresia of larynx or trachea NOS,P832z00,204544004,CPRD_AURUM
1219630019,Congenital cystic adenomatoid malformation of the lung,P844.00,111318005,CPRD_AURUM
400819012,Congenital bronchogenic cyst,P843.12,762195006,CPRD_AURUM
128792019,Congenital bronchiectasis,P861.00,77593006,CPRD_AURUM
485081000006119,Anomaly, pleural folds,P8y1.00,46722007,CPRD_AURUM
507421018,Multiple congenital bronchogenic cysts,P841.12,87119009,CPRD_AURUM
313675018,Lung agenesis, hypoplasia or dysplasia NOS,P85z.00,47147007,CPRD_AURUM
313686016,Other specified respiratory system anomalies,P8y..00,275260000,CPRD_AURUM
313638011,Congenital stenosis of larynx, trachea and bronchus,P833.00,204550009,CPRD_AURUM
126690011,Rudimentary tracheal bronchus,P83y800,76280006,CPRD_AURUM
861601000006113,Lung cyst removal,7452198,173178001,CPRD_AURUM
861011000006118,Pharyngeal reconstruction,7422.98,69888009,CPRD_AURUM
313672015,Other specified lung agenesis, hypoplasia or dysplasia,P85y.00,47147007,CPRD_AURUM
313642014,Congenital stenosis of larynx or trachea NOS,P833z00,204550009,CPRD_AURUM
11777331000006114,Multiple cysts of lung,,275505006,CPRD_AURUM
313584014,Choanal atresia,P80..00,204508009,CPRD_AURUM
144462013,Congenital cystic lung,P84..00,87119009,CPRD_AURUM
221921000000118,Congenital tracheo-oesophageal fistula,PA32111,60983006,CPRD_AURUM
313677014,Anomaly of lung, unspecified,P860.00,47147007,CPRD_AURUM
100764015,Congenital cyst of mediastinum,P8y3.00,60652005,CPRD_AURUM
500437014,Aplasia of lung,P850.00,66489009,CPRD_AURUM
2795431000006117,Congenital sequestration of lung,,18620009,CPRD_AURUM
313591012,Atresia of the posterior nares,P802.00,204512003,CPRD_AURUM
5332341000006117,Pulmonary atresia with absent pulmonary artery,,253625004,CPRD_AURUM
411496010,Multiple lung cysts,P841.11,275505006,CPRD_AURUM
