MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
Q334,Congenital bronchiectasis,Q33.4,,ICD10
Q300,Choanal atresia,Q30.0,,ICD10
Q32,Congenital malformations of trachea and bronchus,Q32,,ICD10
Q321,Other congenital malformations of trachea,Q32.1,,ICD10
Q322,Congenital bronchomalacia,Q32.2,,ICD10
Q323,Congenital stenosis of bronchus,Q32.3,,ICD10
Q324,Other congenital malformations of bronchus,Q32.4,,ICD10
Q33,Congenital malformations of lung,Q33,,ICD10
Q330,Congenital cystic lung,Q33.0,,ICD10
Q332,Sequestration of lung,Q33.2,,ICD10
Q335,Ectopic tissue in lung,Q33.5,,ICD10
Q336,Hypoplasia and dysplasia of lung,Q33.6,,ICD10
Q338,Other congenital malformations of lung,Q33.8,,ICD10
Q339,Congenital malformation of lung, unspecified,Q33.9,,ICD10
Q34,Other congenital malformations of respiratory system,Q34,,ICD10
Q340,Anomaly of pleura,Q34.0,,ICD10
Q341,Congenital cyst of mediastinum,Q34.1,,ICD10
Q348,Other specified congenital malformations of respiratory system,Q34.8,,ICD10
Q349,Congenital malformation of respiratory system, unspecified,Q34.9,,ICD10
