MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
867061000006111,Ureter excision/repair,7B10.99,108028005,CPRD_AURUM
414351000006113,[X]Other specified congenital malform of urinary system,Pyu7600,253859003,CPRD_AURUM
5091971000006114,Revision of male epispadias repair,,236277002,CPRD_AURUM
3637282015,Left renal agenesis,,762907005,CPRD_AURUM
3339491000006117,Congenital abnormality of ureter,,51794008,CPRD_AURUM
3222631000006115,Malposition of ureter,,44796002,CPRD_AURUM
5335641000006116,Congenital posterior urethral valve,,253900005,CPRD_AURUM
5567921000006118,Male epispadias repair,,274941008,CPRD_AURUM
4827391000006118,Renal dysplasia,,204949001,CPRD_AURUM
2738311000006115,Repair of urinary bladder exstrophy,,15044006,CPRD_AURUM
5091841000006111,Epispadias repair in female - primary procedure,null,236265007,CPRD_AURUM
3176381000006111,Renal agenesis syndrome,,41962002,CPRD_AURUM
4670481000006115,TUUI - Transurethral ureteric incision,,176098003,CPRD_AURUM
3819241000006119,Congenital bladder diverticulum,,81107006,CPRD_AURUM
3832961000006114,Repair of urethral meatus,,81977006,CPRD_AURUM
3765151000006114,Ureteric agenesis,,77761000,CPRD_AURUM
3176361000006118,Potter syndrome,,41962002,CPRD_AURUM
12721471000006113,Other specified incision of ureter,,542441000000100,CPRD_AURUM
499141015,Segmental renal hypoplasia,PD03200,61852001,CPRD_AURUM
3765141000006112,Agenesis of ureter,,77761000,CPRD_AURUM
5090561000006119,Reconnection and repair of ureter,,236164001,CPRD_AURUM
12725881000006111,Urethra or bladder neck atresia or stenosis NOS,,669451000000107,CPRD_AURUM
272520010,Other connection of ureter NOS,7B13z00,236164001,CPRD_AURUM
4151701000006112,Ureter excision,,108028005,CPRD_AURUM
3336261000006115,Total excision of ureter,,51607004,CPRD_AURUM
1848371000006113,Unilat renal agenesis with contralat hypoplasia/dysplasia,PD00200,204942005,CPRD_AURUM
3503371000006117,Exstrophy of urinary bladder,,61758007,CPRD_AURUM
12718561000006115,Other open operation on ureter NOS,,552461000000101,CPRD_AURUM
314302019,Other specified congenital cystic kidney disease,PD1y.00,82525005,CPRD_AURUM
2158128010,Epispadias,PC61.00,406476007,CPRD_AURUM
9696016,Prune belly syndrome,PG72.00,5187006,CPRD_AURUM
272540015,Other open operation on ureter NOS,7B16z00,387749002,CPRD_AURUM
1231080018,Excision of segment of ureter,7B10100,52149005,CPRD_AURUM
