MEDICAL_CODE_ID,DESCRIPTION,READ_CODE,SNOMED_CT_CODE,DATABASE
2810,Horseshoe kidney,PD38.00,null,CPRD_GOLD
15917,Congenital cystic kidney disease,PD1..00,null,CPRD_GOLD
30315,Anomalies of urachus,PD7..00,null,CPRD_GOLD
59031,Other congenital cystic kidney disease NOS,PD1yz00,null,CPRD_GOLD
59018,Other specified congenital cystic kidney disease,PD1y.00,null,CPRD_GOLD
60919,Excision of half of horseshoe kidney,7B01311,null,CPRD_GOLD
63634,Bilateral renal agenesis,PD00000,null,CPRD_GOLD
63673,Bischoff replantation ureter,7B12.11,null,CPRD_GOLD
64185,Other specified excision of ureter,7B10y00,null,CPRD_GOLD
64965,Exstrophy of urinary bladder NOS,PD5z.00,null,CPRD_GOLD
65057,Epispadias, female,PDyz000,null,CPRD_GOLD
65053,Other connection of ureter,7B13.00,null,CPRD_GOLD
66601,Other connection of ureter NOS,7B13z00,null,CPRD_GOLD
74899,[X]Congenital malformations of the urinary system,Pyu7.00,null,CPRD_GOLD
94300,Denis-Browne epispadias repair,7B41112,null,CPRD_GOLD
99445,Open exploration of ureter,7B16600,null,CPRD_GOLD
112240,[X]Other atresia and stenosis of urethra and bladder neck,Pyu7400,null,CPRD_GOLD
112878,Congenital urethral posterior valvular stricture,PD62.12,null,CPRD_GOLD
114345,Unilat renal agenesis with contralat hypoplasia/dysplasia,PD00200,null,CPRD_GOLD
3996,Ureter operations,7B1..00,null,CPRD_GOLD
4764,Hypoplasia of kidney,PD03.00,null,CPRD_GOLD
5099,Megaloureter - congenital,PD26.00,null,CPRD_GOLD
5379,Congenital hydronephrosis,PD23.00,null,CPRD_GOLD
5552,Endoscopic incision of ureterocele,7B1D300,null,CPRD_GOLD
7568,Total excision of kidney,7B01.11,null,CPRD_GOLD
9240,Cystic kidney disease NEC,PD11z11,null,CPRD_GOLD
9500,Bilateral renal dysplasia,PD04000,null,CPRD_GOLD
10063,Dysplasia of kidney,PD04.00,null,CPRD_GOLD
11710,Congenital posterior urethral valves,PD67.00,null,CPRD_GOLD
14835,Replantation of ureter,7B12.14,null,CPRD_GOLD
15142,Ectopic kidney,PD35.00,null,CPRD_GOLD
15823,Epispadias repair,7B41100,null,CPRD_GOLD
16255,Ureter operations NOS,7B1z.00,null,CPRD_GOLD
18331,Multicystic renal dysplasia,PD13.00,null,CPRD_GOLD
20223,Other specified other open operation on ureter,7B16y00,null,CPRD_GOLD
20314,Congenital bladder diverticulum,PDy4.00,null,CPRD_GOLD
20410,Repair of urethra,7B41.00,null,CPRD_GOLD
21785,Diverticulum of bladder,K163.00,null,CPRD_GOLD
22853,Prune belly syndrome,PG72.00,null,CPRD_GOLD
23960,Potter's syndrome,PD03011,null,CPRD_GOLD
24120,Unilateral renal dysplasia,PD04100,null,CPRD_GOLD
25382,Urinary system congenital anomalies,PD...00,null,CPRD_GOLD
25806,Urethra or bladder neck atresia or stenosis NOS,PD6z.00,null,CPRD_GOLD
27474,Renal agenesis, unspecified,PD00.00,null,CPRD_GOLD
29139,Hook ablation of posterior urethral valve,7B45600,null,CPRD_GOLD
29629,Epispadias,PC61.00,null,CPRD_GOLD
29659,Renal agenesis or dysgenesis NOS,PD0z.00,null,CPRD_GOLD
30097,Renal agenesis and dysgenesis,PD0..00,null,CPRD_GOLD
30650,Unilateral renal hypoplasia,PD03100,null,CPRD_GOLD
31714,Closure of exstrophy of bladder,7B23400,null,CPRD_GOLD
31961,Unilateral renal agenesis,PD00100,null,CPRD_GOLD
33979,Endoscopic destruction of posterior urethral valve,7B43500,null,CPRD_GOLD
34834,Heminephrectomy for horseshoe kidney,7B01300,null,CPRD_GOLD
35651,Repair of urethra NOS,7B41z00,null,CPRD_GOLD
36549,Exstrophy of urinary bladder,PD5..00,null,CPRD_GOLD
37717,Incision of ureter NOS,7B15z00,null,CPRD_GOLD
38107,Duplication of ureter,PD44.11,null,CPRD_GOLD
39970,Congenital absence of bladder,PDy0.00,null,CPRD_GOLD
41474,Repair of ureter,7B14.00,null,CPRD_GOLD
41813,Excision of ureter,7B10.00,null,CPRD_GOLD
42925,Bilateral renal hypoplasia,PD03000,null,CPRD_GOLD
47515,Hypospadias and epispadias,PC6..00,null,CPRD_GOLD
47679,Urethra and bladder neck atresia and stenosis,PD6..00,null,CPRD_GOLD
47855,Other specified operations on ureter,7B1y.00,null,CPRD_GOLD
48267,Diverticulum of bladder NOS,K163z00,null,CPRD_GOLD
50331,Congenital cystic kidney disease NOS,PD1z.00,null,CPRD_GOLD
50820,Congenital stenosis of ureter,PD22.11,null,CPRD_GOLD
52312,Other specified urethra or bladder neck atresia or stenosis,PD6y.00,null,CPRD_GOLD
52671,Division of isthmus of horseshoe kidney,7B02100,null,CPRD_GOLD
52700,Accessory kidney,PD30.00,null,CPRD_GOLD
53781,[X]Other obstructive defects of renal pelvis and ureter,Pyu7100,null,CPRD_GOLD
54737,Incision of ureter,7B15.00,null,CPRD_GOLD
54798,Dysplasia of kidney NOS,PD04z00,null,CPRD_GOLD
55985,Renal agenesis, unspecified NOS,PD00z00,null,CPRD_GOLD
55994,Excision of segment of ureter,7B10100,null,CPRD_GOLD
56889,Anomalies of urachus NOS,PD7z.00,null,CPRD_GOLD
57886,Other open operations on ureter,7B16.00,null,CPRD_GOLD
62260,Other open operation on ureter NOS,7B16z00,null,CPRD_GOLD
63356,Repair of ureter NOS,7B14z00,null,CPRD_GOLD
63860,Excision of urethra NOS,7B40z00,null,CPRD_GOLD
64031,Hutch replantation of ureter,7B12.12,null,CPRD_GOLD
66364,Excision of ureter NOS,7B10z00,null,CPRD_GOLD
66442,Hypospadias or epispadias NOS,PC6z.00,null,CPRD_GOLD
66658,Other specified incision of ureter,7B15y00,null,CPRD_GOLD
69107,Congenital posterior urethral valves,PD62.11,null,CPRD_GOLD
