"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"394488013","Pack to control postnatal haemorrhage","7F22712","265641004","CPRD_AURUM"
"411006010","Pack to control postpartum haemorrhage","7F22713","275082004","CPRD_AURUM"
"1230526013","Bleeding postpartum","L36..11","47821001","CPRD_AURUM"
"888551000006117","Secondary PPH","L362.99","23171006","CPRD_AURUM"
"2610011000000111","Minor postpartum haemorrhage","","1033571000000100","CPRD_AURUM"
"2610051000000110","Major postpartum haemorrhage","","1033591000000101","CPRD_AURUM"
"106231000006117","Third-stage postpartum haemorrhage - deliv with p/n problem","L360100","47236005","CPRD_AURUM"
"152031000006115","Secondary postpartum haemorrhage - deliv with postnatal prob","L362100","200025008","CPRD_AURUM"
"212251000006113","Postpartum haemorrhage (PPH)","L36..00","47821001","CPRD_AURUM"
"247771000006117","Pack to control postnatal vaginal bleeding","7F22700","265641004","CPRD_AURUM"
"307372016","Secondary postpartum haemorrhage with postnatal problem","L362200","23171006","CPRD_AURUM"
"157431000006110","Secondary and delayed postpartum haemorrhage","L362.00","23171006","CPRD_AURUM"
"3273571000006113","Postpartum hemorrhage","","47821001","CPRD_AURUM"
"8413771000006112","Major PPH (postpartum haemorrhage)","","1033591000000101","CPRD_AURUM"
"3273591000006114","Haemorrhage after delivery of fetus","","47821001","CPRD_AURUM"
"11903961000006114","Delayed AND/OR secondary postpartum hemorrhage","","23171006","CPRD_AURUM"
"2869461000006112","Haemorrhage after first 24 hours following delivery of placenta","","23171006","CPRD_AURUM"
"3263791000006112","Haemorrhage with retained, trapped AND/OR adherent placenta","","47236005","CPRD_AURUM"
"2869451000006110","Postpartum hemorrhage, delayed AND/OR secondary","","23171006","CPRD_AURUM"
"2869441000006113","Postpartum hemorrhage specified as delayed or secondary","","23171006","CPRD_AURUM"
"2936031000006116","Haemorrhage within 24 hours following delivery of placenta","","27214003","CPRD_AURUM"
"2936041000006114","Immediate postpartum haemorrhage","","27214003","CPRD_AURUM"
"5487761000006119","Packing to control postnatal vaginal bleeding","","265641004","CPRD_AURUM"
"3273631000006114","Haemorrhage after delivery of foetus","","47821001","CPRD_AURUM"
"3273601000006118","PPH - Postpartum haemorrhage","","47821001","CPRD_AURUM"
"4800591000006115","Secondary postpartum hemorrhage - delivered with postnatal problem","","200025008","CPRD_AURUM"
"2936011000006110","Immediate postpartum hemorrhage","","27214003","CPRD_AURUM"
"2869471000006117","Postpartum haemorrhage specified as delayed or secondary","","23171006","CPRD_AURUM"
"3273581000006111","Hemorrhage after delivery of fetus","","47821001","CPRD_AURUM"
"2936001000006112","Atonic postpartum hemorrhage","","27214003","CPRD_AURUM"
"5487791000006110","Pack to control postnatal hemorrhage","","265641004","CPRD_AURUM"
"12702461000006117","Third-stage postpartum haemorrhage - deliv with p/n problem","","47236005","CPRD_AURUM"
"12727551000006110","Secondary postpartum haemorrhage unspecified","","683501000000105","CPRD_AURUM"
"307348014","Third-stage postpartum haemorrhage unspecified","L360000","47236005","CPRD_AURUM"
"307356012","Third-stage postpartum haemorrhage NOS","L360z00","47236005","CPRD_AURUM"
"307357015","Other immediate postpartum haemorrhage","L361.00","27214003","CPRD_AURUM"
"307365017","Other immediate postpartum haemorrhage NOS","L361z00","27214003","CPRD_AURUM"
"308156017","[X]Other immediate postpartum haemorrhage","Lyu4D00","47821001","CPRD_AURUM"
"28821000006115","Other immediate postpartum haemorrhage - deliv with p/n prob","L361100","27214003","CPRD_AURUM"
"29071000006115","Other immediate postpartum haemorrhage with postnatal prob","L361200","27214003","CPRD_AURUM"
"106221000006115","Third-stage postpartum haemorrhage","L360.00","47236005","CPRD_AURUM"
"888541000006119","Immediate PPH","L361.99","590881000000102","CPRD_AURUM"
"888561000006115","Post-partum haemorrhage NOS","L36z.99","638751000000104","CPRD_AURUM"
"12726441000006114","Postpartum haemorrhage NOS","","638751000000104","CPRD_AURUM"
"307360010","Other immediate postpartum haemorrhage unspecified","L361000","27214003","CPRD_AURUM"
"307373014","Secondary and delayed postpartum haemorrhage NOS","L362z00","23171006","CPRD_AURUM"
"3273611000006115","PPH - Postpartum hemorrhage","","47821001","CPRD_AURUM"
"2869491000006116","Delayed postpartum haemorrhage","","23171006","CPRD_AURUM"
"8413751000006119","Minor PPH (postpartum haemorrhage)","","1033571000000100","CPRD_AURUM"
"2935991000006111","Atonic postpartum haemorrhage","","27214003","CPRD_AURUM"
"2869481000006119","Postpartum haemorrhage, delayed AND/OR secondary","","23171006","CPRD_AURUM"
"5569141000006119","Pack to control postpartum hemorrhage","","275082004","CPRD_AURUM"
"394487015","Pack to control postnatal vaginal bleeding","7F22711","265641004","CPRD_AURUM"
"2869411000006114","Delayed AND/OR secondary postpartum haemorrhage","","23171006","CPRD_AURUM"
"2869431000006115","Hemorrhage after first 24 hours following delivery of placenta","","23171006","CPRD_AURUM"
"2869501000006112","Delayed postpartum hemorrhage","","23171006","CPRD_AURUM"
"3263781000006114","Hemorrhage with retained, trapped AND/OR adherent placenta","","47236005","CPRD_AURUM"
"2936021000006119","Hemorrhage within 24 hours following delivery of placenta","","27214003","CPRD_AURUM"
"307352014","Third-stage postpartum haemorrhage with postnatal problem","L360200","47236005","CPRD_AURUM"
"307386017","Postpartum haemorrhage NOS","L36z.00","47821001","CPRD_AURUM"
"3263771000006111","Third stage hemorrhage","","47236005","CPRD_AURUM"
"12721791000006117","Other immediate postpartum haemorrhage","","590881000000102","CPRD_AURUM"
"307368015","Secondary postpartum haemorrhage unspecified","L362000","23171006","CPRD_AURUM"
"989261000006116","Secondary PPH","L362099","683501000000105","CPRD_AURUM"
